वृद्धिरादैच्,वृद्धिःआदैच्
कृत्यल्युटो बहुलम्,कृत्यल्युटःबहुलम्
कर्मणि च येन संस्पर्शात्‌ कर्तुः शरीरसुखम्,कर्मणिचयेनसंस्पर्शात्कर्तुःशरीरसुखम्
करणाधिकरणयोश्च,करणाधिकरणयोःच
पुंसि संज्ञायां घः प्रायेण,पुंसिसंज्ञायाम्घःप्रायेण
गोचरसंचरवहव्रजव्यजापणनिगमाश्च,गोचरसंचरवहव्रजव्यजापणनिगमाःच
अवे तॄस्त्रोर्घञ्,अवेतॄस्त्रोःघञ्
हलश्च,हलःच
अध्यायन्यायोद्यावसंहाराधारावयाश्च,अध्यायन्यायोद्यावसंहाराःच
उदङ्कोऽनुदके,उदङ्कःअनुदके
जालमानायः,जालम्आनायः
खनो घ च,खनःघच
कर्तृकर्मणोश्च भूकृञोः,कर्तृकर्मणोःचभूकृञोः
आतो युच्,आतःयुच्
अन्येभ्योऽपि दृश्यते,अन्येभ्यःअपिदृश्यते
वर्तमानसामीप्ये वर्तमानवद्वा,वर्तमानसामीप्येवर्तमानवत्वा
आशंसायां भूतवच्च,आशंसायाम्भूतवत्च
नानद्यतनवत्‌ क्रियाप्रबन्धसामीप्ययोः,नअनद्यतनवत्क्रियाप्रबन्धसामीप्ययोः
भविष्यति मर्यादावचनेऽवरस्मिन्,भविष्यतिमर्यादावचनेअवरस्मिन्
कालविभागे चानहोरात्राणाम्,कालविभागेचअनहोरात्राणाम्
वोताप्योः,वाआउताप्योः
गर्हायां लडपिजात्वोः,गर्हायाम्लट्अपिजात्वोः
अनवकॢप्त्यमर्षयोरकिंवृत्ते अपि,अनवकॢप्त्यमर्षयोःअकिंवृत्तेअपि
जातुयदोर्लिङ्,जातुयदोःलिङ्
गर्हायां च,गर्हायाम्च
शेषे लृडयदौ,शेषेलृट्अयदौ
उताप्योः समर्थयोर्लिङ्,उताप्योःसमर्थयोःलिङ्
कामप्रवेदनेऽकच्चिति,कामप्रवेदनेअकच्चिति
सम्भवानेऽलमिति चेत्‌ सिद्धाप्रयोगे,सम्भवानेअलम्इतिचेत्सिद्धाप्रयोगे
विभाषा धातौ सम्भावनवचनेऽयदि,विभाषाधातौसम्भावनवचनेअयदि
हेतुहेतुमतोर्लिङ्,हेतुहेतुमतोःलिङ्
इच्छार्थेभ्यो विभाषा वर्तमाने,इच्छार्थेभ्योविभाषावर्त्तमाने
विधिनिमन्‍त्रणामन्‍त्रणाधीष्‍टसंप्रश्‍नप्रार्थनेषु लिङ्,विधिनिमन्त्रणामन्त्रणाधीष्टसम्प्रश्नप्रार्थनेषुलिङ्
प्रैषातिसर्गप्राप्तकालेषु कृत्याश्च,प्रैषातिसर्गप्राप्तकालेषुकृत्याःच
लिङ् चोर्ध्वमौहूर्तिके,लिङ्चऊर्ध्वमौहूर्तिके
अर्हे कृत्यतृचश्च,अर्हेकृत्यतृचःच
आवश्यकाधमर्ण्ययोर्णिनिः,आवश्यकाधमर्ण्ययोःणिनिः
कृत्याश्च,कृत्याःच
क्रियासमभिहारे लोट् लोटो हिस्वौ वा च तध्वमोः,क्रियासमभिहारेलोट्लोटःहिस्वौवाचतध्वमोः
समुच्चयेऽन्यतरस्याम्,समुच्चयेअन्यतरस्याम्
यथाविध्यनुप्रयोगः पूर्वस्मिन्,यथाविधिअनुप्रयोगःपूर्वस्मिन्
उपसंवादाशङ्कयोश्च,उपसंवादाशङ्कयोःच
तुमर्थे सेसेनसेअसेन्क्सेकसेनध्यैअध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः,तुमर्थेसेसेनसेसेन्क्सेकसेनध्यैध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः
भावलक्षणे स्थेण्कृञ्वदिचरिहुतमिजनिभ्यस्तोसुन्,भावलक्षणेस्थेण्कृञ्वदिचरिहुतमिजनिभ्यःतोसुन्
अलङ्खल्वोः प्रतिषेधयोः प्राचां क्त्वा,अलङ्खल्वोःप्रतिषेधयोःप्राचाम्क्त्वा
उदीचां माङो व्यतीहारे,उदीचाम्माङःव्यतीहारे
समानकर्तृकयोः पूर्वकाले,समानकर्त्तृकयोःपूर्वकाले
न यद्यनाकाङ्क्षे,नयदिअनाकाङ्क्षे
विभाषाऽग्रेप्रथमपूर्वेषु,विभाषाअग्रेप्रथमपूर्वेषु
कर्मण्याक्रोशे कृञः खमुञ्,कर्मणिआक्रोशेकृञःखमुञ्
अन्यथैवंकथमित्थंसु सिद्धाप्रयोगश्चेत्‌,अन्यथैवंकथमित्थंसुसिद्धाप्रयोगःचेत्
यथातथयोरसूयाप्रतिवचने,यथातथयोःअसूयाप्रतिवचने
वर्षप्रमाण ऊलोपश्चास्यान्यतरस्याम्,वर्षप्रमाणेऊलोपःचअस्यअन्यतरास्यम्
कर्त्रोर्जीवपुरुषयोर्नशिवहोः,कर्त्रोःजीवपुरुषयोःनशिवहोः
कषादिषु यथाविध्यनुप्रयोगः,कषादिषुयथाविधिअनुप्रयोगः
उपदंशस्तृतीयायाम्,उपदंशःतृतीयायाम्
हिंसार्थानां च समानकर्मकाणाम्,हिंसार्थानाम्चसमानकर्मकाणाम्
सप्तम्यां चोपपीडरुधकर्षः,सप्तम्याम्चउपपीडरुधकर्षः
द्वितीयायां च,द्वितीयायाम्च
स्वाङ्गेऽध्रुवे,स्वाङ्गेअध्रुवे
विशिपतिपदिस्कन्दां व्याप्यमानासेव्यमानयोः,विशिपतिपदिस्कन्दाम्व्याप्यमानासेव्यमानयोः
नाम्न्यादिशिग्रहोः,नाम्निआदिशिग्रहोः
अव्ययेऽयथाभिप्रेताख्याने कृञः क्त्वाणमुलौ,अव्ययेअयथाभिप्रेताख्यानेकृञःक्त्वाणमुलौ
तिर्यच्यपवर्गे,तिर्यचिअपवर्गे
अन्वच्यानुलोम्ये,अन्वचिआनुलोम्ये
शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु तुमुन्,शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषुतुमुन्
पर्याप्तिवचनेष्वलमर्थेषु,पर्याप्तिवचनेषुअलमर्थेषु
कर्तरि कृत्‌,कर्त्तरिकृत्
भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्या वा,भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्याःवा
लः कर्मणि च भावे चाकर्मकेभ्यः,लःकर्मणिचभावेचअकर्मकेभ्यः
तयोरेव कृत्यक्तखलर्थाः,तयोःएवकृत्यक्तखलर्थाः
अदिकर्मणि क्तः कर्तरि च,आदिकर्मणिक्तःकर्त्तरिच
गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यश्च,गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यःच
भीमादयोऽपादाने,भीमादयःअपादाने
ताभ्यामन्यत्रोणादयः,ताभ्याम्अन्यत्रउणादयः
क्तोऽधिकरणे च ध्रौव्यगतिप्रत्यवसानार्थेभ्यः,क्तःअधिकरणेचध्रौव्यगतिप्रत्यवसानार्थेभ्यः
टित आत्मनेपदानां टेरे,टितःआत्मनेपदानाम्टेःए
थासस्से,थासःसे
लिटस्तझयोरेशिरेच्,लिटःतझयोःएशिरेच्
परस्मैपदानां णलतुसुस्थलथुसणल्वमाः,परस्मैपदानाम्णलतुसुस्थलथुसणल्वमाः
विदो लटो वा,विदःलटःवा
ब्रुवः पञ्चानामादित आहो ब्रुवः,ब्रुवःपञ्चानाम्आदितःआहःब्रुवः
लोटो लङ्वत्‌,लोटःलङ्वत्
एरुः,एःउः
सेर्ह्यपिच्च,सेःहिअपित्च
मेर्निः,मेःनिः
आमेतः,आम्एतः
सवाभ्यां वामौ,सवाभ्याम्वामौ
आडुत्तमस्य पिच्च,आट्उत्तमस्यपित्च
एत ऐ,एतःऐ
लेटोऽडाटौ,लेटःअडाटौ
आत ऐ,आतःऐ
वैतोऽन्यत्र,वाएतःअन्यत्र
इतश्च लोपः परस्मैपदेषु,इतःचलोपःपरस्मैपदेषु
स उत्तमस्य,सःउत्तमस्य
नित्यं ङितः,नित्यम्ङितः
इतश्च,इतःच
तस्थस्थमिपां तांतंतामः,तस्थस्थमिपाम्तांतंतामः
लिङस्सीयुट्,लिङःसीयुट्
यासुट् परस्मैपदेषूदात्तो ङिच्च,यासुट्परस्मैपदेषुउदात्तःङित्च
किदाशिषि,कित्आशिषि
इटोऽत्‌,इटःअत्
झेर्जुस्,झेःजुस्
लङः शाकटायनस्यैव,लङःशाकटायनस्यएव
द्विषश्च,द्विषःच
आर्द्धधातुकं शेषः,आर्द्धधातुकम्शेषः
लिङाशिषि,लिङ्आशिषि
छन्दस्युभयथा,छन्दसिउभयथा
अजाद्यतष्टाप्‌,अजाद्यतःटाप्
ऋन्नेभ्यो ङीप्‌,ऋन्नेभ्यःङीप्
उगितश्च,उगितःच
वनो र च,वनःरच
पादोऽन्यतरस्याम्,पादःअन्यतरस्याम्
टाबृचि,टप्ऋचि
न षट्स्वस्रादिभ्यः,नषट्‍स्वस्रादिभ्यः
अनो बहुव्रीहेः,अनःबहुव्रीहेः
डाबुभाभ्यामन्यतरस्याम्‌,डप्उभाभ्याम्अन्यतरस्याम्
यञश्च,यञःच
प्राचां ष्फ तद्धितः,प्राचाम्ष्फःतद्धितः
कौरव्यमाण्डूकाभ्यां च,कौरव्यमाण्डूकाभ्याम्च
अपरिमाणबिस्ताचितकम्बल्येभ्यो न तद्धितलुकि,अपरिमाणबिस्ताचितकम्बल्येभ्यःनतद्धितलुकि
काण्डान्तात्‌ क्षेत्रे,काण्डान्तात्क्षेत्रे
पुरुषात्‌ प्रमाणेऽन्यतरस्याम्,पुरुषात्प्रमाणेअन्यतरस्याम्
बहुव्रीहेरूधसो ङीष्।,बहुव्रीहेःऊधसःङीष्
संख्याऽव्ययादेर्ङीप्‌,संख्याऽव्ययादेःङीप्
दामहायनान्ताच्च,दामहायनान्तात्च
अन उपधालोपिनोन्यतरस्याम्,अनःउपधालोपिनःअन्यतरस्याम्
नित्यं संज्ञाछन्दसोः,नित्यम्संज्ञाछन्दसोः
केवलमामकभागधेयपापापरसमानार्यकृत-सुमङ्गलभेषजाच्च,केवलमामकभागधेयपापापरसमानार्यकृतसुमङ्गलभेषजात्च
रात्रेश्चाजसौ,रात्रेःचअजसौ
अन्तर्वत्पतिवतोर्नुक्,अन्तर्वत्पतिवतोःनुक्
पत्युर्नो यज्ञसंयोगे,पत्युःनःयज्ञसंयोगे
नित्यं सपत्न्य्आदिषु,नित्यम्सपत्न्यादिषु
पूतक्रतोरै च,पूतक्रतोःऐच
वृषाकप्यग्निकुसितकुसीदानामुदात्तः,वृषाकप्यग्निकुसितकुसीदानाम्उदात्तः
मनोरौ वा,मनोःऔवा
वर्णादनुदात्तात्तोपधात्तो नः,वर्णात्अनुदात्तात्तोपधात्तःनः
अन्यतो ङीष्।,अन्यतःङीष्
षिद्गौरादिभ्यश्च,षिद्गौरादिभ्यःच
जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबराद्वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु,जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबरात्वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु
शोणात्‌ प्राचाम्,शोणात्प्राचाम्
वोतो गुणवचनात्‌,वाउतःगुणवचनात्
बह्वादिभ्यश्च,बह्वादिभ्यःच
नित्यं छन्दसि,नित्यम्छन्दसि
भुवश्च,भुवःच
पुंयोगादाख्यायाम्,पुंयोगात्आख्यायाम्
इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणामानुक्,इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणाम्आनुक्
क्रीतात्‌ करणपूर्वात्‌,क्रीतात्करणपूर्वात्
क्तादल्पाख्यायाम्,क्तात्अल्पाख्यायाम्
बहुव्रीहेश्चान्तोदात्तात्‌,बहुव्रीहेःचअन्तोदात्तात्
अस्वाङ्गपूर्वपदाद्वा,अस्वाङ्गपूर्वपदात्वा
स्वाङ्गाच्चोपसर्जनादसंयोगोपधात्‌,स्वाङ्गात्चउपसर्जनात्असंयोगोपधात्
नासिकोदरौष्ठजङ्घादन्तकर्णशृङ्गाच्च,नासिकोदरौष्ठजङ्‍घादन्तकर्णशृङ्गात्च
सहनञ्विद्यमानपूर्वाच्च,सहनञ्‍विद्यमानपूर्वात्च
नखमुखात्‌ संज्ञायाम्,नखमुखात्संज्ञायाम्
दीर्घजिह्वी च च्छन्दसि,दीर्घजिह्वीचछन्दसि
दिक्पूर्वपदान्ङीप्‌,दिक्पूर्वपदात्ङीप्
सख्यशिश्वीति भाषायाम्,सखीअशिश्वीइतिभाषायाम्
जातेरस्त्रीविषयादयोपधात्‌,जातेःअस्त्रीविषयात्अयोपधात्
पाककर्णपर्णपुष्पफलमूलबालोत्तरपदाच्च,पाककर्णपर्णपुष्पफलमूलवालोत्तरपदात्च
इतो मनुष्यजातेः,इतःमनुष्यजातेः
ऊङुतः,ऊङ्उतः
बाह्वन्तात्‌ संज्ञायाम्,बाह्वन्तात्संज्ञायाम्
पङ्गोश्च,पङ्गोःच
ऊरूत्तरपदादौपम्ये,ऊरूत्तरपदात्औपम्ये
संहितशफलक्षणवामादेश्च,संहितशफलक्षणवामादेःच
कद्रुकमण्डल्वोश्छन्दसि,कद्रुकमण्डल्वोःछन्दसि
शार्ङ्गरवाद्यञो ङीन्,शार्ङ्गरवाद्यञःङीन्
यङश्चाप्‌,यङःचाप्
आवट्याच्च,आवट्यात्च
यूनस्तिः,यूनःतिः
अणिञोरनार्षयोर्गुरूपोत्तमयोः ष्यङ् गोत्रे,अणिञोःअनार्षयोःगुरूपोत्तमयोःष्यङ्गोत्रे
क्रौड्यादिभ्यश्च,क्रौड्यादिभ्यःच
दैवयज्ञिशौचिवृक्षिसात्यमुग्रिकाण्ठेविद्धिभ्योऽन्यतरस्याम्,दैवयज्ञिशौचिवृक्षिसात्यमुग्रिकाण्ठेविद्धिभ्यःअन्यतरस्याम्
समर्थानां प्रथमाद्वा,समर्थानाम्प्रथमात्वावा
प्राग्दीव्यतोऽण्,प्राक्दीव्यतःअण्
अश्वपत्यादिभ्यश्च,अश्वपत्यादिभ्यःच
दित्यदित्यादित्यपत्युत्तरपदाण्ण्यः,दित्यदित्यादित्यपत्युत्तरपदात्ण्यः
उत्सादिभ्योऽञ्,उत्सादिभ्यःअञ्
स्त्रीपुंसाभ्यां नञ्स्नञौ भवनात्‌,स्त्रीपुंसाभ्याम्नञ्स्नञौभवनात्
द्विगोर्लुगनपत्ये,द्विगोःलुक्अनपत्ये
गोत्रेऽलुगचि,गोत्रेअलुक्अचि
फक्फिञोरन्यतरस्याम्,फक्फिञोःअन्यतरस्याम्
तस्यापत्यम्,तस्यअपत्यम्
एको गोत्रे,एकःगोत्रे
गोत्राद्यून्यस्त्रियाम्,गोत्रात्यूनिअस्त्रियाम्
अत इञ्,अतःइञ्
बाह्वादिभ्यश्च,बाह्वादिभ्यःच
सुधातुरकङ् च,सुधातुःअकङ्च
गोत्रे कुञ्जादिभ्यश्च्फञ्,गोत्रेकुञ्जादिभ्यःच्फञ्
हरितादिभ्योऽञः,हरितादिभ्यःअञः
यञिञोश्च,यञिञोःच
शरद्वच्छुनकदर्भाद्भृगुवत्साग्रायणेषु,शरद्वच्छुनकदर्भात्भृगुवत्साग्रायणेषु
द्रोणपर्वतजीवन्तादन्यतरयाम्,द्रोणपर्वतजीवन्तात्अन्यतरयाम्
अनृष्यानन्तर्ये बिदादिभ्योऽञ्,अनृषिआनन्तर्येबिदादिभ्यःअञ्
गर्गादिभ्यो यञ्,गर्गादिभ्यःयञ्
मधुबभ्र्वोर्ब्राह्मणकौशिकयोः,मधुबभ्र्वोःब्राह्मणकौशिकयोः
कपिबोधादाङ्गिरसे,कपिबोधात्आङ्गिरसे
वतण्डाच्च,वतण्डात्च
भर्गात्‌ त्रैगर्ते,भर्गात्त्रैगर्ते
शिवादिभ्योऽण्,शिवादिभ्यःअण्
अवृद्धाभ्यो नदीमानुषीभ्यस्तन्नामिकाभ्यः,अवृद्धाभ्यःनदीमानुषीभ्यःतन्नामिकाभ्यः
ऋष्यन्धकवृष्णिकुरुभ्यश्च,ऋष्यन्धकवृष्णिकुरुभ्यःच
मातुरुत्‌ संख्यासम्भद्रपूर्वायाः,मातुःउत्संख्यासम्भद्रपूर्वायाः
विकर्णशुङ्गच्छगलाद्वत्सभरद्वाजात्रिषु,विकर्णशुङ्गच्छगलात्वत्सभरद्वाजात्रिषु
पीलाया वा,पीलायाःवा
ढक् च मण्डूकात्‌,ढक्चमण्डूकात्
स्त्रीभ्यो ढक्,स्त्रीभ्यःढक्
इतश्चानिञः,इतःचअनिञः
शुभ्रादिभ्यश्च,शुभ्रादिभ्यःच
विकर्णकुषीतकात्‌ काश्यपे,विकर्णकुषीतकात्काश्यपे
भ्रुवो वुक् च,भ्रुवःवुक्च
कल्याण्यादीनामिनङ्,कल्याण्यादीनाम्इनङ्
कुलटाया वा,कुलटायाःवा
चटकाया ऐरक्,चटकायाःऐरक्
गोधाया ढ्रक्,गोधायाःढ्रक्
आरगुदीचाम्,आरक्उदीचाम्
क्षुद्राभ्यो वा,क्षुद्राभ्यःवा
पितृष्वसुश्छण्,पितृष्वसुछण्
मातृष्वसुश्च,मातृष्वसुःच
चतुष्पाद्भ्यो ढञ्,चतुष्पाद्‍भ्यःढञ्
गृष्ट्यादिभ्यश्च,गृष्ट्‍यादिभ्यःच
राजश्वशुराद्यत्‌,राजश्वशुरात्यत्
क्षत्राद्घः,क्षत्रात्घः
कुलात्‌ खः,कुलात्खः
अपूर्वपदादन्यतरस्यां यड्ढकञौ,अपूर्वपदात्अन्यतरस्याम्यड्‍ढकञौ
महाकुलादञ्खञौ,महाकुलात्अञ्खञौ
दुष्कुलाड्ढक्,दुष्कुलात्ढक्
स्वसुश्छः,स्वसुःछः
भ्रातुर्व्यच्च,भ्रातुःव्यत्च
रेवत्यादिभ्यष्ठक्,रेवत्यादिभ्यःठक्
वृद्धाट्ठक् सौवीरेषु बहुलम्,वृद्धात्ठक्सौवीरेषुबहुलम्
फेश्छ च,फेःछच
फाण्टाहृतिमिमताभ्यां णफिञौ,फाण्टाहृतिमिमताभ्याम्णफिञौ
कुर्वादिभ्यो ण्यः,कुर्वादिभ्यःण्यः
सेनान्तलक्षणकारिभ्यश्च,सेनान्तलक्षणकारिभ्यःच
उदीचामिञ्,उदीचाम्इञ्
कौसल्यकार्मार्याभ्यां च,कौसल्यकार्मार्याभ्याम्च
अणो द्व्यचः,अणःद्‍व्यचः
उदीचां वृद्धादगोत्रात्‌,उदीचाम्वृद्धात्अगोत्रात्
वाकिनादीनां कुक् च,वाकिनादीनाम्कुक्च
पुत्रान्तादन्यतरस्याम्,पुत्रान्तात्अन्यतरस्याम्
प्राचामवृद्धात्‌ फिन् बहुलम्‌,प्राचाम्अवृद्धात्फिन्बहुलम्
मनोर्जातावञ्यतौ षुक् च,मनोःजातौअञ्यतौषुक्च
अपत्यं पौत्रप्रभृति गोत्रम्‌,अपत्यम्पौत्रप्रभृतिगोत्रम्
वाऽन्यस्मिन् सपिण्डे स्थविरतरे जीवति,वाअन्यस्मिन्सपिण्डेस्थविरतरेजीवति
यूनश्च कुत्सायाम्,यूनःचकुत्सायाम्
जनपदशब्दात्‌ क्षत्रियादञ्,जनपदशब्दात्क्षत्रियात्अञ्
साल्वेयगान्धारिभ्यां च,साल्वेयगान्धारिभ्याम्च
द्व्यञ्मगधकलिङ्गसूरमसादण्,द्‍व्यञ्मगधकलिङ्गसूरमसाद्अण्
वृद्धेत्कोसलाजादाञ्ञ्यङ्,वृद्धेत्कोसलाजादात्ञ्यङ्
कुरुणादिभ्यो ण्यः,कुरुणादिभ्यःण्यः
साल्वावयवप्रत्यग्रथकलकूटाश्मकादिञ्,साल्वावयवप्रत्यग्रथकलकूटाश्मकात्इञ्
कम्बोजाल्लुक्,कम्बोजात्लुक्
स्त्रियामवन्तिकुन्तिकुरुभ्यश्च,स्त्रियाम्अवन्तिकुन्तिकुरुभ्यःच
अतश्च,अतःच
तेन रक्तं रागात्‌,तेनरक्तम्रागात्
लाक्षारोचनाशकलकर्दमाट्ठक्,लाक्षारोचनात्शकलकर्दमात्ठक्
लुबविशेषे,लुप्अविशेषे
संज्ञायां श्रवणाश्वत्थाभ्याम्‌,संज्ञायाम्श्रवणाश्वत्थाभ्याम्
द्वंद्वाच्छः,द्वन्द्वात्छः
दृष्ट्अं साम,दृष्टम्साम
वामदेवाड्ड्यड्ड्यौ,वामदेवात्ड्यड्ड्यौ
परिवृतो रथः,परिवृतःरथः
पाण्डुकम्बलादिनिः,पाण्डुकम्बलात्इनिः
द्वैपवैयाघ्रादञ्,द्वैपवैयाघ्रात्अञ्
कौमारापूर्ववचने,कौमारअपूर्ववचने
तत्रोद्धृतममत्रेभ्यः,तत्रउद्धृतम्अमत्रेभ्यः
स्थण्डिलाच्छयितरि व्रते,स्थण्डिलात्शयितरिव्रते
संस्कृतं भक्षाः,संस्कृतम्भक्षाः
शूलोखाद्यत्‌,शूलोखात्यत्
दध्नष्ठक्,दध्नःठक्
उदश्वितोऽन्यतरस्याम्,उदश्वितःअन्यतरस्याम्
क्षीराड्ढञ्,क्षीरात्ढञ्
साऽस्मिन् पौर्णमासीति संज्ञायाम्,साअस्मिन्पौर्णमासिइतिसंज्ञायाम्
आग्रहायण्यश्वत्थाट्ठक्,आग्रहायण्यश्वत्थात्ठक्
साऽस्य देवता,साअस्यदेवता
कस्येत्‌,कस्यइत्
शुक्राद्घन्,शुक्रात्घन्
अपोनप्त्रपान्नप्तृभ्यां घः,अपोनप्त्रपान्नप्तृभ्याम्घः
महेन्द्राद्घाणौ च,महेन्द्रात्घाणौच
सोमाट्ट्यण्,सोमात्ट्यण्
वाय्वृतुपित्रुषसो यत्‌,वाय्वृतुपित्रुषसःयत्
द्यावापृथिवीशुनासीरमरुत्वदग्नीषोमवास्तोष्पतिगृहमेधाच्छ च,द्यावापृथिवीशुनासीरमरुत्वदग्नीषोमवास्तोष्पतिगृहमेधात्छच
अग्नेर्ढक्,अग्नेःढक्
कालेभ्यो भववत्‌,कालेभ्यःभववत्
महाराजप्रोष्ठपदाट्ठञ्,महाराजप्रोष्ठपदात्ठञ्
भिक्षाऽऽदिभ्योऽण्,भिक्षाऽऽदिभ्यःअण्
गोत्रोक्षोष्ट्रोरभ्रराजराजन्यराजपुत्रवत्समनुष्याजाद्वुञ्,गोत्रोक्षोष्ट्रोरभ्रराजराजन्यराजपुत्रवत्समनुष्याजात्वुञ्
केदाराद्यञ् च,केदारात्यञ्च
ठञ् कवचिनश्च,ठञ्कवचिनःच
ब्राह्मणमाणववाडवाद्यन्,ब्राह्मणमाणववाडवात्यन्
अनुदात्तादेरञ्,अनुदात्तादेःअञ्
खण्डिकादिभ्यश्च,खण्डिकादिभ्यःच
चरणेभ्यो धर्मवत्‌,चरणेभ्यःधर्मवत्
अचित्तहस्तिधेनोष्ठक्,अचित्तहस्तिधेनोःठक्
केशाश्वाभ्यां यञ्छावन्यतरस्याम्,केशाश्वाभ्याम्यञ्छौअन्यतरस्याम्
पाशादिभ्यो यः,पाशादिभ्यःयः
इनित्रकट्यचश्च,इनित्रकट्यचःच
विषयो देशे,विषयःदेशे
राजन्यादिभ्यो वुञ्,राजन्यादिभ्यःवुञ्
भौरिक्याद्यैषुकार्यादिभ्यो विधल्भक्तलौ,भौरिक्याद्यैषुकार्यादिभ्यःविधल्भक्तलौ
सोऽस्यादिरिति च्छन्दसः प्रगाथेषु,सःअस्यआदिःइतिछन्दसःप्रगाथेषु
संग्रामे प्रयोजनयोद्धृभ्यः,सङ्‍ग्रामेप्रयोजनयोद्धृभ्यः
तदस्यां प्रहरणमिति क्रीडायाम् णः,तत्अस्याम्प्रहरणम्इतिक्रीडायाम्णः
घञः साऽस्यां क्रियेति ञः,घञःसाअस्याम्क्रियाइतिञः
तदधीते तद्वेद,तत्अधीतेतद्वेद
क्रतूक्थादिसूत्रान्ताट्ठक्,क्रतूक्थादिसूत्रान्तात्ठक्
क्रमादिभ्यो वुन्,क्रमादिभ्यःवुन्
अनुब्राह्मणादिनिः,अनुब्राह्मणात्इनिः
वसन्तादिभ्यष्ठक्,वसन्तादिभ्यःठक्
प्रोक्ताल्लुक्,प्रोक्तात्लुक्
सूत्राच्च कोपधात्‌,सूत्रात्चकोपधात्
तदस्मिन्नस्तीति देशे तन्नाम्नि,तत्अस्मिन्अस्तिइतिदेशेतन्नाम्नि
अदूरभवश्च,अदूरभवःच
ओरञ्,ओःअञ्
मतोश्च बह्वजङ्गात्‌,मतोःचबह्वजङ्गात्
संकलादिभ्यश्च,सङ्कलादिभ्यःच
सुवास्त्वादिभ्योऽण्,सुवास्त्वादिभ्यःअण्
कोपधाच्च,कोपधात्च
वुञ्छण्कठजिलशेनिरढञ्ण्ययफक्फिञिञ्ञ्यकक्ठकोऽरीहणकृशाश्वर्श्यकुमुदकाशतृणप्रेक्षाऽश्मसखिसंकाशबलपक्षकर्णसुतंगमप्रगदिन्वराहकुमुदादिभ्यः,वुञ्छण्‍कठजिलशेनिरढञ्ण्ययफक्फिञिञ्ञ्यकक्ठकःअरीहणकृशाश्वर्श्यकुमुदकाशतृणप्रेक्षाऽश्मसखिसंकाशबलपक्षकर्णसुतंगमप्रगदिन्वराहकुमुदादिभ्यः
जनपदे लुप्‌,जनपदेलुप्
वरणादिभ्यश्च,वरणादिभ्यःच
शर्कराया वा,शर्करायाःवा
नद्यां मतुप्‌,नद्याम्मतुप्
मध्वादिभ्यश्च,मध्वादिभ्यःच
कुमुदनडवेतसेभ्यो ड्मतुप्‌,कुमुदनडवेतसेभ्यःड्‍मतुप्
नडशादाड्ड्वलच्,नडशादात्वलच्
उत्करादिभ्यश्छः,उत्करादिभ्यःछः
नडादीनां कुक् च,नडादीनाम्कुक्च
राष्ट्रावारपाराद्घखौ,राष्ट्रावारपारात्घखौ
ग्रामाद्यखञौ,ग्रामात्यखञौ
कत्त्र्यादिभ्यो ढकञ्,कत्त्र्यादिभ्यःढकञ्
कुलकुक्षिग्रीवाभ्यः श्वास्यलंकारेषु,कुलकुक्षिग्रीवाभ्यःश्वास्यलङ्कारेषु
नद्यादिभ्यो ढक्,नद्यादिभ्यःढक्
दक्षिणापश्चात्पुरसस्त्यक्,दक्षिणापश्चात्पुरसःत्यक्
रंकोरमनुष्येऽण् च,रङ्कोःअमनुष्येअण्च
द्युप्रागपागुदक्प्रतीचो यत्‌,द्युप्रागपागुदक्प्रतीचःयत्
कन्थायाष्ठक्,कन्थायाःठक्
अव्ययात्त्यप्‌,अव्ययात्त्यप्
ऐषमोह्यःश्वसोऽन्यतरस्याम्,ऐषमोह्यःश्वसःअन्यतरस्याम्
तीररूप्योत्तरपदादञ्ञौ,तीररूप्योत्तरपदात्अञ्ञौ
दिक्पूर्वपदादसंज्ञायां ञः,दिक्पूर्वपदात्असंज्ञायाम्ञः
मद्रेभ्योऽञ्,मद्रेभ्यःअञ्
उदीच्यग्रामाच्च बह्वचोऽन्तोदात्तात्‌,उदीच्यग्रामात्चबह्वचःअन्तोदात्तात्
प्रस्थोत्तरपदपलद्यादिकोपधादण्,प्रस्थोत्तरपदपलद्यादिकोपधात्अण्
कण्वादिभ्यो गोत्रे,कण्वादिभ्यःगोत्रे
इञश्च,इञःच
