Sutra krama सू. क्र. सं	Akaaraadi krama अकारादि क्र. सं	Kaumudi krama कौमुदी क्र. सं	Sutra type सूत्रलक्षणम्‌	Term संज्ञा	Special case अतिदेशः	Influence अधिकारः	Commentary व्याख्यानम्‌	Sutra text सूत्रम्‌	PadacCheda पद्च्छेदः
52058	3481	1858					Sktdocs-5.2.58; AVG-5.2.58	षष्ट्यादेश्चासंख्याऽऽदेः ।	षष्ट्‍यादेः ५/१ च ०/० आसङ्‍ख्याऽऽदेः ५/१
52059	2719	1859					Sktdocs-5.2.59; AVG-5.2.59	मतौ च्छः सूक्तसाम्नोः ।	मतौ ७/१ छः १/१ सूक्तसाम्नोः ७/२
52060	161	1860					Sktdocs-5.2.60; AVG-5.2.60	अध्यायानुवाकयोर्लुक् ।	अध्यायानुवाकयोः ७/२ लुक् १/१
52061	3259	1861					Sktdocs-5.2.61; AVG-5.2.61	विमुक्तादिभ्योऽण् ।	विमुक्तादिभ्यः ५/३ अण् १/१
52062	1330	1862					Sktdocs-5.2.62; AVG-5.2.62	गोषदादिभ्यो वुन् ।	गोषदादिभ्यः ५/३ वुन् १/१
52063	1612	1863					Sktdocs-5.2.63; AVG-5.2.63	तत्र कुशलः पथः ।	तत्र ०/० कुशलः १/१ पथः ५/१
52064	462	1864					Sktdocs-5.2.64; AVG-5.2.64	आकर्षादिभ्यः कन् ।	आकर्षादिभ्यः ५/१ कन् १/१
52065	1988	1865					Sktdocs-5.2.65; AVG-5.2.65	धनहिरण्यात्‌ कामे ।	धनहिरण्यात् ५/१ कामे ७/१
52066	3887	1866					Sktdocs-5.2.66; AVG-5.2.66	स्वाङ्गेभ्यः प्रसिते ।	स्वाङ्गेभ्यः ५/१ प्रसिते ७/१
52067	729	1867					Sktdocs-5.2.67; AVG-5.2.67	उदराट्ठगाद्यूने ।	उदरात् ५/१ ठक् १/१ आद्यूने ७/१
52068	3697	1868					Sktdocs-5.2.68; AVG-5.2.68	सस्येन परिजातः ।	सस्येन ३/१ परिजातः १/१
52069	5	1869					Sktdocs-5.2.69; AVG-5.2.69	अंशं हारी ।	अंशम् २/१ हारी १/१
52070	1663	1870					Sktdocs-5.2.70; AVG-5.2.70	तन्त्रादचिरापहृते ।	तन्त्रात् ५/१ अचिरापहृते ७/१
52071	2632	1871					Sktdocs-5.2.71; AVG-5.2.71	ब्राह्मणकोष्णिके संज्ञायाम् ।	ब्राह्मणकोष्णिके १/२ संज्ञायाम् ७/१
52072	3405	1872					Sktdocs-5.2.72; AVG-5.2.72	शीतोष्णाभ्यां कारिणि ।	शीतोष्णाभ्याम् ५/२ कारिणि ७/१
52073	142	1873					Sktdocs-5.2.73; AVG-5.2.73	अधिकम् ।	अधिकम् १/१
52074	187	1874					Sktdocs-5.2.74; AVG-5.2.74	अनुकाभिकाभीकः कमिता ।	अनुकाभिकाभीकः १/१ कमिता १/१
52075	2369	1875					Sktdocs-5.2.75; AVG-5.2.75	पार्श्वेनान्विच्छति ।	पार्श्वेन ३/१ अन्विच्छति (क्रियापदम्)
52076	338	1876					Sktdocs-5.2.76; AVG-5.2.76	अयःशूलदण्डाजिनाभ्यां ठक्ठञौ ।	अयःशूलदण्डाजिनाभ्याम् ३/२ ठक्ठञौ १/२
52077	1715	1877					Sktdocs-5.2.77; AVG-5.2.77	तावतिथं ग्रहणमिति लुग्वा ।	तावतिथम् १/१ ग्रहणम् १/१ इति ०/० लुक् १/१ वा ०/०
52078	3503	1878					Sktdocs-5.2.78; AVG-5.2.78	स एषां ग्रामणीः ।	सः १/१ एषाम् ६/३ ग्रामणीः १/१
52079	3419	1879					Sktdocs-5.2.79; AVG-5.2.79	शृङ्खलमस्य बन्धनं करभे ।	शृङ्‍खलम् १/१ अस्य ६/१ बन्धनम् १/१ करभे ७/१
52080	711	1880					Sktdocs-5.2.80; AVG-5.2.80	उत्क उन्मनाः ।	उत्कः १/१ उन्मनाः १/१
52081	1059	1881					Sktdocs-5.2.81; AVG-5.2.81	कालप्रयोजनाद्रोगे ।	कालप्रयोजनात् ५/१ रोगे ७/१
52082	1632	1882					Sktdocs-5.2.82; AVG-5.2.82	तदस्मिन्नन्नं प्राये संज्ञायाम्‌ ।	तत् १/१ अस्मिन् ७/१ अन्नम् १/१ प्राये ७/१ संज्ञायाम् ७/१
52083	1124	1883					Sktdocs-5.2.83; AVG-5.2.83	कुल्माषादञ् ।	कुल्माषात् ५/१ अञ् १/१
52084	3457	1884					Sktdocs-5.2.84; AVG-5.2.84	श्रोत्रियंश्छन्दोऽधीते ।	श्रोत्रियन् १/१ छन्दः २/१ अधीते (क्रियापदम्)
52085	3450	1885					Sktdocs-5.2.85; AVG-5.2.85	श्राद्धमनेन भुक्तमिनिठनौ ।	श्राद्धम् १/१ अनेन ३/१ भुक्तम् २/१ इनिठनौ १/२
52086	2425	1886					Sktdocs-5.2.86; AVG-5.2.86	पूर्वादिनिः ।	पूर्वात् ५/१ इनिः १/१
52087	3603	1887					Sktdocs-5.2.87; AVG-5.2.87	सपूर्वाच्च ।	सपूर्वात् ५/१ च ०/०
52088	666	1888					Sktdocs-5.2.88; AVG-5.2.88	इष्टादिभ्यश्च ।	इष्टादिभ्यः ५/३ च ०/०
52089	1448	1889					Sktdocs-5.2.89; AVG-5.2.89	छन्दसि परिपन्थिपरिपरिणौ पर्यवस्थातरि ।	छन्दसि ७/१ परिपन्थिपरिपरिणौ १/२ पर्यवस्थातरि ७/१
52090	208	1890					Sktdocs-5.2.90; AVG-5.2.90	अनुपद्यन्वेष्टा ।	अनुपदी १/१ अन्वेष्टा १/१
52091	3712	1891					Sktdocs-5.2.91; AVG-5.2.91	साक्षाद्द्रष्टरि संज्ञायाम् ।	साक्षात् ०/० द्रष्टरि ७/१ संज्ञायाम् ७/१
52092	1239	1892					Sktdocs-5.2.92; AVG-5.2.92	क्षेत्रियच् परक्षेत्रे चिकित्स्यः ।	क्षेत्रियच् १/१ परक्षेत्रे ७/१ चिकित्स्यः १/१
52093	658	1893					Sktdocs-5.2.93; AVG-5.2.93	'इन्द्रियमिन्द्रलिंगमिन्द्रदृष्टमिन्द्रसृष्टमिन्द्रजुष्टम्इन्द्रदत्तमिति वा ।	इन्द्रियम् १/१ इन्द्रलिङ्गम् १/१ इन्द्रदृष्टम् १/१ इन्द्रसृष्टम् १/१ इन्द्रजुष्टम् १/१ इन्द्रदत्तम् १/१ इति ०/० वा ०/०
52094	1642	1894					Sktdocs-5.2.94; AVG-5.2.94	तदस्यास्त्यस्मिन्निति मतुप्‌ ।	तत् १/१ अस्य १/१ अस्ति (क्रियापदम्) अस्मिन् ७/१ इति ०/० मतुप् १/१
52095	2914	1895					Sktdocs-5.2.95; AVG-5.2.95	रसादिभ्यश्च ।	रसादिभ्यः ५/३ च ०/०
52096	2538	1903					Sktdocs-5.2.96; AVG-5.2.96	प्राणिस्थादातो लजन्यतरस्याम् ।	प्राणिस्थात् ५/१ आतः ५/१ लच् १/१ अन्यतरस्याम् ७/१
52097	3736	1904					Sktdocs-5.2.97; AVG-5.2.97	सिध्मादिभ्यश्च ।	सिध्मादिभ्यः ५/३ च ०/०
52098	3051	1905					Sktdocs-5.2.98; AVG-5.2.98	वत्सांसाभ्यां कामबले ।	वत्सांसाभ्याम् ५/२ कामबले ७/१
52099	2575	1906					Sktdocs-5.2.99; AVG-5.2.99	फेनादिलच् च ।	फेनात् ५/१ इलच् १/१ च ०/०
52100	3034	1907					Sktdocs-5.2.100; AVG-5.2.100	लोमादिपामादिपिच्छादिभ्यः शनेलचः ।	लोमादिपामादिपिच्छादिभ्यः ५/३ शनेलचः १/३
52101	2457	1908					Sktdocs-5.2.101; AVG-5.2.101	प्रज्ञाश्रद्धाऽर्चावृत्तिभ्यो णः ।	प्रज्ञाश्रद्धाऽर्चावृत्तिभ्यः ५/३ णः १/१
52102	1664	1909					Sktdocs-5.2.102; AVG-5.2.102	तपःसहस्राभ्यां विनीनी ।	तपःसहस्राभ्याम् ५/२ विनीनी १/२
52103	93	1910					Sktdocs-5.2.103; AVG-5.2.103	अण् च ।	अण् १/१ च ०/०
52104	3729	1911					Sktdocs-5.2.104; AVG-5.2.104	सिकताशर्कराभ्यां च ।	सिकताशर्कराभ्याम् ५/२ च ०/०
52105	1919	1912					Sktdocs-5.2.105; AVG-5.2.105	देशे लुबिलचौ च ।	देशे ७/१ लुबिलचौ १/२ च ०/०
52106	1832	1913					Sktdocs-5.2.106; AVG-5.2.106	दन्त उन्नत उरच् ।	दन्तः १/१ (पञ्चम्यर्थे प्रथमा) उन्नतः १/१ उरच् १/१
52107	845	1914					Sktdocs-5.2.107; AVG-5.2.107	ऊषसुषिमुष्कमधो रः ।	ऊषसुषिमुष्कमधः ५/१ रः १/१
52108	1927	1915					Sktdocs-5.2.108; AVG-5.2.108	द्युद्रुभ्यां मः ।	द्युद्रुभ्याम् ५/२ मः १/१
52109	1165	1916					Sktdocs-5.2.109; AVG-5.2.109	केशाद्वोऽन्यतरस्याम् ।	केशात् ५/१ वः १/१ अन्यतरस्याम् ७/१
52110	1287	1917					Sktdocs-5.2.110; AVG-5.2.110	गाण्ड्यजगात्‌ संज्ञायाम् ।	गाण्ड्यजगात् ५/१ संज्ञायाम् ७/१
52111	1046	1918					Sktdocs-5.2.111; AVG-5.2.111	काण्डाण्डादीरन्नीरचौ ।	काण्डाण्डात् ५/१ ईरन्नीरचौ १/२
52112	2903	1919					Sktdocs-5.2.112; AVG-5.2.112	रजःकृष्यासुतिपरिषदो वलच् ।	रजःकृष्यासुतिपरिषदः ५/१ वलच् १/१
52113	1833	1920					Sktdocs-5.2.113; AVG-5.2.113	दन्तशिखात्‌ संज्ञायाम् ।	दन्तशिखात् ५/१ संज्ञायाम् ७/१
52114	1537	1921					Sktdocs-5.2.114; AVG-5.2.114	ज्योत्स्नातमिस्राशृङ्गिणोजस्विन्नूर्जस्वलगोमिन्मलिनमलीमसाः ।	ज्योत्स्नातमिस्राशृङ्गिणोजस्विन्नूर्जस्वलगोमिन्मलिनमलीमसाः १/३
52115	97	1922					Sktdocs-5.2.115; AVG-5.2.115	अत इनिठनौ ।	अतः ५/१ इनिठनौ १/२
52116	3342	1923					Sktdocs-5.2.116; AVG-5.2.116	व्रीह्यादिभ्यश्च ।	व्रीह्यादिभ्यः ५/३ च ०/०
52117	1749	1924					Sktdocs-5.2.117; AVG-5.2.117	तुन्दादिभ्य इलच् च ।	तुन्दादिभ्यः ५/३ इलच् १/१ च ०/०
52118	879	1925					Sktdocs-5.2.118; AVG-5.2.118	एकगोपूर्वाट्ठञ् नित्यम् ।	एकगोपूर्वात् ५/१ ठञ् १/१ नित्यम् १/१
52119	3352	1926					Sktdocs-5.2.119; AVG-5.2.119	शतसहस्रान्ताच्च निष्कात्‌ ।	शतसहस्रान्तात् ५/१ च ०/० निष्कात् ५/१
52120	2950	1927					Sktdocs-5.2.120; AVG-5.2.120	रूपादाहतप्रशंसयोरप्‌ ।	रूपात् ५/१ आहतप्रशंसयोः ७/२ यप् १/१
52121	442	1928					Sktdocs-5.2.121; AVG-5.2.121	अस्मायामेधास्रजो विनिः ।	अस्मायामेधास्रजः ५/१ विनिः १/१
52122	2590	3498					Sktdocs-5.2.122; AVG-5.2.122	बहुलं छन्दसि ।	बहुलम् १/१ छन्दसि ७/१
52123	839	1929					Sktdocs-5.2.123; AVG-5.2.123	ऊर्णाया युस् ।	ऊर्णायाः ५/१ युस् १/१
52124	3139	1930					Sktdocs-5.2.124; AVG-5.2.124	वाचो ग्मिनिः ।	वाचः ५/१ ग्मिनिः १/१
52125	571	1931					Sktdocs-5.2.125; AVG-5.2.125	आलजाटचौ बहुभाषिणि ।	आलजाटचौ १/२ बहुभाषिणि ७/१
52126	3892	1932					Sktdocs-5.2.126; AVG-5.2.126	स्वामिन्नैश्वर्ये ।	स्वामिन् १/१ ऐश्वर्ये ७/१
52127	362	1933					Sktdocs-5.2.127; AVG-5.2.127	अर्शआदिभ्योऽच् ।	अर्शआदिभ्यः ५/३ अच् १/१
52128	1939	1934					Sktdocs-5.2.128; AVG-5.2.128	द्वंद्वोपतापगर्ह्यात्‌ प्राणिस्थादिनिः ।	द्वन्द्वोपतापगर्ह्यात् ५/१ प्राणिस्थात् ५/१ इनिः १/१
52129	3141	1935					Sktdocs-5.2.129; AVG-5.2.129	वातातिसाराभ्यां कुक् च ।	वातातिसाराभ्याम् ५/२ कुक् १/१ च ०/०
52130	3063	1936					Sktdocs-5.2.130; AVG-5.2.130	वयसि पूरणात्‌ ।	वयसि १/१ पूरणात् ५/१
52131	3748	1937					Sktdocs-5.2.131; AVG-5.2.131	सुखादिभ्यश्च ।	सुखादिभ्यः ५/३ च ०/०
52132	1993	1938					Sktdocs-5.2.132; AVG-5.2.132	धर्मशीलवर्णान्ताच्च ।	धर्मशीलवर्णान्तात् ५/१ च ०/०
52133	3932	1939					Sktdocs-5.2.133; AVG-5.2.133	हस्ताज्जातौ ।	हस्तात् ५/१ जातौ ७/१
52134	3073	1940					Sktdocs-5.2.134; AVG-5.2.134	वर्णाद्ब्रह्मचारिणि ।	वर्णात् ५/१ ब्रह्मचारिणि ७/१
52135	2401	1941					Sktdocs-5.2.135; AVG-5.2.135	पुष्करादिभ्यो देशे ।	पुष्करादिभ्यः ५/३ देशे ७/१
52136	2582	1942					Sktdocs-5.2.136; AVG-5.2.136	बलादिभ्यो मतुबन्यतरस्याम् ।	बलादिभ्यः ५/३ मतुप् १/१ अन्यतरस्याम् ७/१
52137	3538	1943					Sktdocs-5.2.137; AVG-5.2.137	संज्ञायां मन्माभ्याम्.ह् ।	संज्ञायाम् ७/१ मन्माभ्याम् ७/१
52138	952	1944					Sktdocs-5.2.138; AVG-5.2.138	कंशंभ्यां बभयुस्तितुतयसः ।	कंशंभ्याम् ५/२ बभयुस्तितुतयसः १/३
52139	1750	1945					Sktdocs-5.2.139; AVG-5.2.139	तुन्दिवलिवटेर्भः ।	तुन्दिवलिवटेः ५/१ भः १/१
52140	448	1946					Sktdocs-5.2.140; AVG-5.2.140	अहंशुभमोर्युस् ।	अहंशुभमोः ६/२ युस् १/१
53001	2524	1947	संज्ञा	विभक्तिः			Sktdocs-5.3.1; AVG-5.3.1	प्राग्दिशो विभक्तिः ।	प्राक् ०/० दिशः ५/१ विभक्तिः १/१
53002	1083	1948	अधिकारः			53002-53026	Sktdocs-5.3.2; AVG-5.3.2	किंसर्वनामबहुभ्योऽद्व्यादिभ्यः ।	किंसर्वनामबहुभ्यः ५/३ अद्‍व्यादिभ्यः ५/३
53003	640	1949					Sktdocs-5.3.3; AVG-5.3.3	इदम इश् ।	इदमः ६/१ इश् १/१
53004	914	1950					Sktdocs-5.3.4; AVG-5.3.4	एतेतौ रथोः ।	एतेतौ १/२ रथोः ७/२
53005	912	1951					Sktdocs-5.3.5; AVG-5.3.5	एतदोऽश् ।	एतदः ६/१ अन् १/१
53006	3689	1952					Sktdocs-5.3.6; AVG-5.3.6	सर्वस्य सोऽन्यतरस्यां दि ।	सर्वस्य ६/१ सः १/१ अन्यतरस्याम् ७/१ दि
53007	2266	1953					Sktdocs-5.3.7; AVG-5.3.7	पञ्चम्यास्तसिल् ।	पञ्चम्याः ५/१ तसिल् १/१
53008	1681	1955					Sktdocs-5.3.8; AVG-5.3.8	तसेश्च ।	तसेः ६/१ च ०/०
53009	2335	1956					Sktdocs-5.3.9; AVG-5.3.9	पर्यभिभ्यां च ।	पर्यभिभ्याम् ५/२ च ०/०
53010	3615	1957					Sktdocs-5.3.10; AVG-5.3.10	सप्तम्यास्त्रल् ।	सप्तम्याः ५/१ त्रल् १/१
53011	644	1958					Sktdocs-5.3.11; AVG-5.3.11	इदमो हः ।	इदमः ५/१ हः १/१
53012	1093	1959					Sktdocs-5.3.12; AVG-5.3.12	किमोऽत्‌ ।	किमः ५/१ अत् १/१
53013	3125	1961					Sktdocs-5.3.13; AVG-5.3.13	वा ह च च्छन्दसि ।	वा ०/० ह (लुप्तप्रथमान्तनिर्देशः) च ०/० च्छन्दसि ७/१
53014	629	1963					Sktdocs-5.3.14; AVG-5.3.14	इतराभ्योऽपि दृश्यन्ते ।	इतराभ्यः ५/३ अपि ०/० दृश्यन्ते (क्रियापदम्)
53015	3691	1964					Sktdocs-5.3.15; AVG-5.3.15	सर्वैकान्यकिंयत्तदः काले दा ।	सर्वैकान्यकिंयत्तदः ५/१ काले ७/१ दा १/१
53016	643	1965					Sktdocs-5.3.16; AVG-5.3.16	इदमो र्हिल् ।	इदमः ५/१ र्हिल् १/१
53017	155	1966					Sktdocs-5.3.17; AVG-5.3.17	अधुना ।	अधुना १/१
53018	1847	1967					Sktdocs-5.3.18; AVG-5.3.18	दानीं च ।	दानीम् १/१ च ०/०
53019	1643	1968					Sktdocs-5.3.19; AVG-5.3.19	तदो दा च ।	तदः ५/१ दा १/१ च ०/०
53020	1671	3499					Sktdocs-5.3.20; AVG-5.3.20	तयोर्दार्हिलौ च च्छन्दसि ।	तयोः ६/२ दार्हिलौ १/२ च ०/० च्छन्दसि ७/१
53021	172	1969					Sktdocs-5.3.21; AVG-5.3.21	अनद्यतने र्हिलन्यतरस्याम् ।	अनद्यतने ७/१ र्हिल् १/१ अन्यतरस्याम् ७/१
53022	3586	1970					Sktdocs-5.3.22; AVG-5.3.22	सद्यःपरुत्परार्यैषमःपरेद्यव्यद्यपूर्वेद्युरन्येद्युरन्यतरेद्युरितरेद्युरपरेद्युरधरेद्युरुभयेद्युरुत्तरेद्युः ।	सद्यः ०/० परुत्परार्यैषमः ०/० परेद्यव्यद्यपूर्वेद्युः ०/० अन्येद्युः ०/० अन्यतरेद्युः ०/० इतरेद्युः ०/० अपरेद्युः ०/० अधरेद्युः ०/० उभयेद्युः ०/० उत्तरेद्युः ०/०
53023	2445	1971					Sktdocs-5.3.23; AVG-5.3.23	प्रकारवचने थाल् ।	प्रकारवचने ७/१ थाल् १/१
53024	641	1972					Sktdocs-5.3.24; AVG-5.3.24	इदमस्थमुः ।	इदमः ५/१ थमुः १/१
53025	1090	1973					Sktdocs-5.3.25; AVG-5.3.25	किमश्च ।	किमः ५/१ च ०/०
53026	1818	3500					Sktdocs-5.3.26; AVG-5.3.26	था हेतौ च च्छन्दसि ।	था १/१ हेतौ ७/१ च ०/० छन्दसि ७/१
53027	1858	1974					Sktdocs-5.3.27; AVG-5.3.27	दिक्‌शब्देभ्यः सप्तमीपञ्चमीप्रथमाभ्यो दिग्देशकालेष्वस्तातिः ।	दिक्‌शब्देभ्यः ५/३ सप्तमीपञ्चमीप्रथमाभ्यः ५/३ दिग्देशकालेषु ७/३ अस्तातिः १/१
53028	1825	1978					Sktdocs-5.3.28; AVG-5.3.28	दक्षिणोत्तराभ्यामतसुच् ।	दक्षिणोत्तराभ्याम् ५/२ अतसुच् १/१
53029	3210	1979					Sktdocs-5.3.29; AVG-5.3.29	विभाषा परावराभ्याम् ।	विभाषा १/१ परावराभ्याम् ५/२
53030	74	1980					Sktdocs-5.3.30; AVG-5.3.30	अञ्चेर्लुक् ।	अञ्चेः ५/१ लुक् १/१
53031	774	1981					Sktdocs-5.3.31; AVG-5.3.31	उपर्युपरिष्टात्‌ ।	उपर्युपरिष्टात् ५/१
53032	2343	1982					Sktdocs-5.3.32; AVG-5.3.32	पश्चात्‌ ।	पश्चात् १/१
53033	2342	3501					Sktdocs-5.3.33; AVG-5.3.33	पश्च पश्चा च च्छन्दसि ।	पश्च १/१ पश्चा १/१ च ०/० छन्दसि ७/१
53034	720	1983					Sktdocs-5.3.34; AVG-5.3.34	उत्तराधरदक्षिणादातिः ।	उत्तराधरदक्षिणात् ५/१ आतिः १/१
53035	919	1984					Sktdocs-5.3.35; AVG-5.3.35	एनबन्यतरस्यामदूरेऽपञ्चम्याः ।	एनप् १/१ अन्यतरस्याम् ७/१ अदूरे ७/१ अपञ्चम्याः ५/१
53036	1822	1985					Sktdocs-5.3.36; AVG-5.3.36	दक्षिणादाच् ।	दक्षिणात् ५/१ आच् १/१
53037	590	1986					Sktdocs-5.3.37; AVG-5.3.37	आहि च दूरे ।	आहि (लुप्तप्रथमान्तनिर्देशः) च ०/० दूरे ७/१
53038	719	1987					Sktdocs-5.3.38; AVG-5.3.38	उत्तराच्च ।	उत्तरात् ५/१ च ०/०
53039	2427	1975					Sktdocs-5.3.39; AVG-5.3.39	पूर्वाधरावराणामसि पुरधवश्चैषाम्‌ ।	पूर्वाधरावराणाम् ६/३ असि (लुप्तप्रथमान्तनिर्देशः) पुरधवः १/३ च ०/० एषाम् ६/३
53040	435	1976					Sktdocs-5.3.40; AVG-5.3.40	अस्ताति च ।	अस्ताति ७/१ च ०/०
53041	3247	1977					Sktdocs-5.3.41; AVG-5.3.41	विभाषाऽवरस्य ।	विभाषा १/१ अवरस्य ६/१
53042	3514	1988					Sktdocs-5.3.42; AVG-5.3.42	संख्याया विधाऽर्थे धा ।	संख्यायाः ५/१ विधाऽर्थे ७/१ धा १/१
53043	145	1989					Sktdocs-5.3.43; AVG-5.3.43	अधिकरणविचाले च ।	अधिकरणविचाले ७/१ च ०/०
53044	896	1990					Sktdocs-5.3.44; AVG-5.3.44	एकाद्धो ध्यमुञन्यारयाम् ।	एकात् ५/१ धः ६/१ ध्यमुञ् १/१ अन्यारयाम् ७/१
53045	1966	1991					Sktdocs-5.3.45; AVG-5.3.45	द्वित्र्योश्च धमुञ् ।	द्वित्र्योः ६/२ च ०/० धमुञ् १/१
53046	917	1992					Sktdocs-5.3.46; AVG-5.3.46	एधाच्च ।	एधाच् १/१ च ०/०
53047	2856	1993					Sktdocs-5.3.47; AVG-5.3.47	याप्ये पाशप्‌ ।	याप्ये ७/१ पाशप् १/१
53048	2413	1994					Sktdocs-5.3.48; AVG-5.3.48	पूरणाद्भागे तीयादन् ।	पूरणात् ५/१ भागे ७/१ तीयात् ५/१ अन् १/१
53049	2522	1995					Sktdocs-5.3.49; AVG-5.3.49	प्रागेकादशभ्योऽच्छन्दसि ।	प्राक् ०/० एकादशभ्यः ५/३ अच्छन्दसि ७/१
53050	3482	1996					Sktdocs-5.3.50; AVG-5.3.50	षष्ठाष्टमाभ्यां ञ च ।	षष्ठाष्टमाभ्याम् ५/२ ञ (लुप्तप्रथमान्तनिर्देशः) च ०/०
53051	2771	1997					Sktdocs-5.3.51; AVG-5.3.51	मानपश्वङ्गयोः कन्लुकौ च ।	मानपश्वङ्गयोः ७/२ कन्लुकौ १/२ च ०/०
53052	893	1998					Sktdocs-5.3.52; AVG-5.3.52	एकादाकिनिच्चासहाये ।	एकात् ५/१ आकिनिच् १/१ च ०/० असहाये ७/१
53053	2690	1999					Sktdocs-5.3.53; AVG-5.3.53	भूतपूर्वे चरट् ।	भूतपूर्वे ७/१ चरट् १/१
53054	3492	2000					Sktdocs-5.3.54; AVG-5.3.54	षष्ठ्या रूप्य च ।	षष्ठ्या ५/१ रूप्य (लुप्तप्रथमान्तनिर्देशः) च ०/०
53055	106	2001					Sktdocs-5.3.55; AVG-5.3.55	अतिशायने तमबिष्ठनौ ।	अतिशायने ७/१ तमबिष्ठनौ १/२
53056	1723	2002					Sktdocs-5.3.56; AVG-5.3.56	तिङश्च ।	तिङः ५/१ च ०/०
53057	1969	2005					Sktdocs-5.3.57; AVG-5.3.57	द्विवचनविभज्योपपदे तरबीयसुनौ ।	द्विवचनविभज्योपपदे ७/१ तरबीयसुनौ १/२
53058	63	2006					Sktdocs-5.3.58; AVG-5.3.58	अजादी गुणवचनादेव ।	अजादी १/२ गुणवचनात् ५/१ एव ०/०
53059	1760	2007					Sktdocs-5.3.59; AVG-5.3.59	तुश्छन्दसि ।	तुः ५/१ छन्दसि ७/१
53060	2505	2009					Sktdocs-5.3.60; AVG-5.3.60	प्रशस्यस्य श्रः ।	प्रशस्यस्य ६/१ श्रः १/१
53061	1532	2011					Sktdocs-5.3.61; AVG-5.3.61	ज्य च ।	ज्य (लुप्तप्रथमान्तनिर्देशः) च ०/०
53062	3281	2013					Sktdocs-5.3.62; AVG-5.3.62	वृद्धस्य च ।	वृद्धस्य ६/१ च ०/०
53063	252	2014					Sktdocs-5.3.63; AVG-5.3.63	अन्तिकबाढयोर्नेदसाधौ ।	अन्तिकबाढयोः ६/२ नेदसाधौ १/२
53064	2870	2019					Sktdocs-5.3.64; AVG-5.3.64	युवाल्पयोः कनन्यतरस्याम् ।	युवाल्पयोः ६/२ कन् १/१ अन्यतरस्याम् ७/१
53065	3174	2020					Sktdocs-5.3.65; AVG-5.3.65	विन्मतोर्लुक् ।	विन्मतोः ६/२ लुक् १/१
53066	2503	2021					Sktdocs-5.3.66; AVG-5.3.66	प्रशंसायां रूपप्‌ ।	प्रशंसायाम् ७/१ रूपप् १/१
53067	693	2022					Sktdocs-5.3.67; AVG-5.3.67	ईषदसमाप्तौ कल्पब्देश्यदेशीयरः ।	ईषदसमाप्तौ ७/१ कल्पब्देश्यदेशीयरः १/३
53068	3234	2023					Sktdocs-5.3.68; AVG-5.3.68	विभाषा सुपो बहुच् पुरस्तात्तु ।	विभाषा १/१ सुपः ५/१ बहुच् १/१ पुरस्तात् ०/० तु ०/०
53069	2444	2024					Sktdocs-5.3.69; AVG-5.3.69	प्रकारवचने जातीयर्।	प्रकारवचने ७/१ जातीयर् १/१
53070	2521	2025	अधिकारः			53070-53095	Sktdocs-5.3.70; AVG-5.3.70	प्रागिवात्कः ।	प्राक् ०/० इवात् ५/१ कः १/१
53071	401	2026					Sktdocs-5.3.71; AVG-5.3.71	अव्ययसर्वनाम्नामकच् प्राक् टेः ।	अव्ययसर्वनाम्नाम् ६/३ अकच् १/१ प्राक् ०/० टेः ५/१
53072	1043	2027					Sktdocs-5.3.72; AVG-5.3.72	कस्य च दः ।	कस्य ६/१ च ०/० दः १/१
53073	72	2028					Sktdocs-5.3.73; AVG-5.3.73	अज्ञाते ।	अज्ञाते ७/१
53074	1105	2029					Sktdocs-5.3.74; AVG-5.3.74	कुत्सिते ।	कुत्सिते ७/१
53075	3529	2030					Sktdocs-5.3.75; AVG-5.3.75	संज्ञायां कन् ।	संज्ञायाम् ७/१ कन् १/१
53076	185	2031					Sktdocs-5.3.76; AVG-5.3.76	अनुकम्पायाम् ।	अनुकम्पायाम् ७/१
53077	2218	2032					Sktdocs-5.3.77; AVG-5.3.77	नीतौ च तद्युक्तात्‌ ।	नीतौ ७/१ च ०/० तद्युक्तात् ५/१
53078	2613	2033					Sktdocs-5.3.78; AVG-5.3.78	बह्वचो मनुष्यनाम्नष्ठज्वा ।	बह्वचः ५/१ मनुष्यनाम्नः ५/१ ठच् १/१ वा ०/०
53079	1359	2034					Sktdocs-5.3.79; AVG-5.3.79	घनिलचौ च ।	घनिलचौ १/२ च ०/०
53080	2535	2036					Sktdocs-5.3.80; AVG-5.3.80	प्राचामुपादेरडज्वुचौ च ।	प्राचाम् ६/३ उपादेः ५/१ अडज्वुचौ १/२ च ०/०
53081	1502	2037					Sktdocs-5.3.81; AVG-5.3.81	जातिनाम्नः कन् ।	जातिनाम्नः ५/१ कन् १/१
53082	68	2039					Sktdocs-5.3.82; AVG-5.3.82	अजिनान्तस्योत्तरपदलोपश्च ।	अजिनान्तस्य ६/१ उत्तरपदलोपः १/१ च ०/०
53083	1567	2035					Sktdocs-5.3.83; AVG-5.3.83	ठाजादावूर्ध्वं द्वितीयादचः ।	ठाजादौ ७/१ ऊर्ध्वम् १/१ द्वितीयात् ५/१ अचः ५/१
53084	3426	2038					Sktdocs-5.3.84; AVG-5.3.84	शेवलसुपरिविशालवरुणार्यमादीनां तृतीयात्‌ ।	शेवलसुपरिविशालवरुणार्यमादीनाम् ६/३ तृतीयात् ५/१
53085	373	2040					Sktdocs-5.3.85; AVG-5.3.85	अल्पे ।	अल्पे ७/१
