Sutra krama:Akaaraadi krama:Kaumudi krama,Sutra,PadacCheda,Sutra krama
32017:2669:2931,भिक्षासेनाऽऽदायेषु च,भिक्षासेनाऽऽदायेषु+च,32017
32019:2431:2933,पूर्वे कर्तरि,पूर्वे+कर्तरि,32019
32021:1869:2935,दिवाविभानिशाप्रभाभास्करान्तानन्तादिबहुनान्दीकिम्लिपिलिबिबलिभक्तिकर्तृचित्रक्षेत्रसंख्याजङ्घाबाह्वहर्यत्तत्धनुररुष्षु,दिवा-विभा-निशा-प्रभा-भास्करान्तानन्तादि-बहुनान्दीकिम्-लिपि-लिबि-बलि-भक्ति-कर्तृ-चित्र-क्षेत्र-संख्याजङ्घा-बाह्वहर्यत्-तत्-धनुररुष्षु,32021
32022:1014:2936,कर्मणि भृतौ,कर्मणि+भृतौ,32022
32023:2071:2937,न शब्दश्लोककलहगाथावैरचाटुसूत्रमन्त्रपदेषु,न+शब्द-श्लोक-कलह-गाथा-वैर-चाटु-सूत्र-मन्त्र-पदेषु,32023
32027:1453:3408,छन्दसि वनसनरक्षिमथाम्,छन्दसि+वनसनरक्षिमथाम्,32027
32028:906:2941,एजेः खश्,एजेः+खश्,32028
32031:737:2946,उदि कूले रुजिवहोः,उदि+कूले+रुजिवहोः,32031
32032:3098:2947,वहाभ्रे लिहः,वहाभ्रे+लिहः,32032
32033:2317:2948,परिमाणे पचः,परिमाणे+पचः,32033
32034:2777:2949,मितनखे च,मितनखे+च,32034
32035:3170:2950,विध्वरुषोः तुदः,विध्वरुषोः+तुदः,32035
32038:2550:2953,प्रियवशे वदः खच्,प्रियवशे+वदः+खच्,32038
32042:3674:2959,सर्वकूलाभ्रकरीषेषु कषः,सर्वकूलाभ्रकरीषेषु+कषः,32042
32043:2798:2960,मेघर्तिभयेषु कृञः,मेघर्तिभयेषु+कृञः,32043
32045:579:2962,आशिते भुवः करणभावयोः,आशिते+भुवः+करणभावयोः,32045
32048:250:2965,अन्तात्यन्ताध्वदूरपारसर्वानन्तेषु डः,अन्तात्यन्ताध्वदूरपारसर्वानन्तेषु+डः,32048
32049:583:2966,आशिषि हनः,आशिषि+हनः,32049
32050:296:2967,अपे क्लेशतमसोः,अपे+क्लेशतमसोः,32050
32053:325:2970,अमनुष्यकर्तृके च,अमनुष्यकर्तृके+च,32053
32054:3349:2971,शक्तौ हस्तिकपाटयोः,शक्तौ+हस्तिकपाटयोः,32054
32055:2348:2972,पाणिघताडघौ शिल्पिनि,पाणिघताडघौ+शिल्पिनि,32055
32057:994:2974,कर्तरि भुवः खिष्णुच्खुकञौ,कर्तरि+भुवः+खिष्णुच्खुकञौ,32057
32061:3582:2975,सत्सूद्विषद्रुहदुहयुजविदभिदच्छिदजिनीराजामुपसर्गेऽपि क्विप्‌,सत्सूद्विषद्रुहदुहयुजविदभिदच्छिद-जिनीराजाम्+उपसर्गे+अपि+क्विप्,32061
32063:1456:3409,छन्दसि सहः,छन्दसि+सहः,32063
32065:1039:3411,कव्यपुरीषपुरीष्येषु ञ्युट्,कव्यपुरीषपुरीष्येषु+ञ्युट्,32065
32069:1206:2978,क्रव्ये च,क्रव्ये+च,32069
32072:394:3415,अवे यजः,अवे+यजः,32072
32076:1223:2983,क्विप् च,क्विप्+च,32076
32077:3827:2987,स्थः क च,स्थः+क+च,32077
32080:3336:2990,व्रते,व्रते,32080
32082:2733:2992,मनः,मनः,32082
32084:2691:2995,भूते,भूते,32084
32085:985:2996,करणे यजः,करणे+यजः,32085
32086:1015:2997,कर्मणि हनः,कर्मणि+हनः,32086
32089:3744:2999,सुकर्मपापमन्त्रपुण्येषु कृञः,सुकर्मपापमन्त्रपुण्येषु+कृञः,32089
32090:3797:3000,सोमे सुञः,सोमे+सुञः,32090
32091:27:3001,अग्नौ चेः,अग्नौ+चेः,32091
32095:2916:3005,राजनि युधिकृञः,राजनि+युधिकृञः,32095
32096:3705:3006,सहे च,सहे+च,32096
32099:792:3009,उपसर्गे च संज्ञायाम्,उपसर्गे+च+संज्ञायाम्,32099
32100:233:3010,अनौ कर्मणि,अनौ+कर्मणि,32100
32102:2206:3013,निष्ठा,निष्ठा,32102
32105:1451:3093,छन्दसि लिट्,छन्दसि+लिट्,32105
32110:3007:2218,लुङ्,लुङ्,32110
32111:173:2205,अनद्यतने लङ्,अनद्यतने+लङ्,32111
32112:307:2773,अभिज्ञावचने लृट्,अभिज्ञावचने+लृट्,32112
32113:2055:2774,न यदि,न+यदि,32113
32114:3232:2775,विभाषा साकाङ्क्षे,विभाषा+साकाङ्क्षे,32114
32115:2329:2171,परोक्षे लिट्,परोक्षे+लिट्,32115
32118:2970:2778,लट् स्मे,लट्+स्मे,32118
32119:282:2779,अपरोक्षे च,अपरोक्षे+च,32119
32120:2109:2780,ननौ पृष्टप्रतिवचने,ननौ+पृष्टप्रतिवचने,32120
32125:3667:3102,सम्बोधने च,सम्बोधने+च,32125
32126:2964:3103,लक्षणहेत्वोः क्रियायाः,लक्षणहेत्वोः+क्रियायाः,32126
32128:2408:3108,पूङ्यजोः शानन्,पूङ्यजोः+शानन्,32128
32129:1710:3109,ताच्छील्यवयोवचनशक्तिषु चानश्,ताच्छील्यवयोवचनशक्तिषु+चानश्,32129
32130:607:3110,इङ्धार्योः शत्रकृच्छ्रिणि,इङ्-धार्य्योः+शतृ+अकृच्छ्रिणि,32130
32133:364:3113,अर्हः पूजायाम्,अर्हः+पूजायाम्,32133
32135:1776:3115,तृन्,तृन्,32135
32136:366:3116,अलंकृञ्निराकृञ्प्रजनोत्पचोत्पतोन्मदरुच्यपत्रपवृतुवृधुसहचर इष्णुच्,अलंकृञ्निराकृञ्प्रजनोत्पचोत्पतोन्मदरुच्यपत्रपवृतुवृधुसहचर+इष्णुच्,32136
32140:1803:3120,त्रसिगृधिधृषिक्षिपेः क्नुः,त्रसिगृधिधृषिक्षिपेः+क्नुः,32140
32142:3556:3122,संपृचानुरुधाङ्यमाङ्यसपरिसृसंसृजपरिदेविसंज्वरपरिक्षिपपरिरटपरिवदपरिदहपरिमुहदुषद्विषद्रुहदुहयुजाक्रीडविविचत्यजरजभजातिचरापचरामुषाभ्याहनश्च,संपृचानुरुधाङ्यमाङ्यसपरिसृसंसृज-परिदेविसंज्वरपरिक्षिपपरिरटपरिवदपरिदहपरिमुह-दुषद्विषद्रुहदुहयुजाक्रीडविविचत्यजरज-भजातिचरापचरामुषाभ्याहनः+च,32142
32143:3318:3123,वौ कषलसकत्थस्रम्भः,वौ+कषलसकत्थस्रम्भः,32143
32144:297:3124,अपे च लषः,अपे+च+लषः,32144
32145:2556:3125,प्रे लपसृद्रुमथवदवसः,प्रे+लपसृद्रुमथवदवसः,32145
32150:1522:3130,जुचङ्क्रम्यदन्द्रम्यसृगृधिज्वलशुचलषपतपदः,जुचङ्क्रम्यदन्द्रम्यसृगृधिज्वलशुचलषपतपदः,32150
32152:2054:3132,न यः,न+यः,32152
32154:2975:3134,लषपतपदस्थाभूवृषहनकमगमशॄभ्य उकञ्,लषपतपदस्थाभूवृषहनकमगमशॄभ्य+उकञ्,32154
32159:1846:3139,दाधेट्सिशदसदो रुः,दाधेट्-सिशदसदः+रुः,32159
32160:3780:3140,सृघस्यदः क्मरच्,सृघस्यदः+क्मरच्,32160
32162:3163:3142,विदिभिदिच्छिदेः कुरच्,विदिभिदिच्छिदेः+कुरच्,32162
32171:527:3151,आदृगमहनजनः किकिनौ लिट् च,आदृगमहनजनः+किकिनौ+लिट्+च,32171
32174:2672:3154,भियः क्रुक्लुकनौ,भियः+क्रुक्लुकनौ,32174
32179:2684:3159,भुवः संज्ञाऽन्तरयोः,भुवः+संज्ञाऽन्तरयोः,32179
32181:1986:3161,धः कर्मणि ष्ट्रन्,धः+कर्मणि+ष्ट्रन्,32181
32182:1850:3162,दाम्नीशसयुयुजस्तुतुदसिसिचमिहपतदशनहः करणे,दाम्नीशसयुयुजस्तुतुदसिसिचमिहपतदशनहः+करणे,32182
32183:3919:3164,हलसूकरयोः पुवः,हलसूकरयोः+पुवः,32183
32185:2399:3166,पुवः संज्ञायाम्,पुवः+संज्ञायाम्,32185
32187:1553:3088,ञीतः क्तः,ञीतः+क्तः,32187
33003:2651:3171,भविष्यति गम्यादयः,भविष्यति+गम्यादयः,33003
33005:3185:2784,विभाषा कदाकर्ह्योः,विभाषा+कदाकर्ह्योः,33005
33006:1082:2785,किंवृत्ते लिप्सायाम्,किंवृत्ते+लिप्सायाम्,33006
33007:3000:2786,लिप्स्यमानसिद्धौ च,लिप्स्यमानसिद्धौ+च,33007
33008:3026:2787,लोडर्थलक्षणे च,लोडर्थलक्षणे+च,33008
33012:91:3181,अण् कर्मणि च,अण्+कर्मणि+च,33012
33013:3020:2193,लृट् शेषे च,लृट्+शेषे+च,33013
33015:174:2185,अनद्यतने लुट्,अनद्यतने+लुट्,33015
33017:3779:3183,सृ स्थिरे,सृ+स्थिरे,33017
33018:2663:3184,भावे,भावे,33018
33019:8:3186,अकर्तरि च कारके संज्ञायाम्,अकर्तरि+च+कारके+संज्ञायाम्,33019
33022:793:3192,उपसर्गे रुवः,उपसर्गे+रुवः,33022
33023:3648:3194,समि युद्रुदुवः,समि+युद्रुदुवः,33023
33025:3319:3196,वौ क्षुश्रुवः,वौ+क्षुश्रुवः,33025
33027:2555:3198,प्रे द्रुस्तुस्रुवः,प्रे+द्रुस्तुस्रुवः,33027
33028:2196:3199,निरभ्योः पूल्वोः,निरभ्योः+पूल्वोः,33028
33030:1160:3201,कॄ धान्ये,कॄ+धान्ये,33030
33031:2821:3202,यज्ञे समि स्तुवः,यज्ञे+समि+स्तुवः,33031
33034:1468:3205,छन्दोनाम्नि च,छन्दोनाम्नि+च,33034
33035:738:3207,उदि ग्रहः,उदि+ग्रहः,33035
33036:3647:3208,समि मुष्टौ,समि+मुष्टौ,33036
33039:3332:3211,व्युपयोः शेतेः पर्याये,व्युपयोः+शेतेः+पर्याये,33039
33043:1028:3215,कर्मव्यतिहारे णच् स्त्रियाम्,कर्मव्यतिहारे+णच्+स्त्रियाम्,33043
33046:2557:3221,प्रे लिप्सायाम्,प्रे+लिप्सायाम्,33046
33047:2333:3222,परौ यज्ञे,परौ+यज्ञे,33047
33048:2247:3223,नौ वृ धान्ये,नौ+वृ+धान्ये,33048
33049:739:3224,उदि श्रयतियौतिपूद्रुवः,उदि+श्रयतियौतिपूद्रुवः,33049
33052:2558:3227,प्रे वणिजाम्,प्रे+वणिजाम्,33052
33053:2912:3228,रश्मौ च,रश्मौ+च,33053
33060:2246:3237,नौ ण च,नौ+ण+च,33060
33063:2837:3240,यमः समुपनिविषु,यमः+समुपनिविषु,33063
33064:2245:3241,नौ गदनदपठस्वनः,नौ+गदनदपठस्वनः,33064
33068:2493:3245,प्रमदसम्मदौ हर्षे,प्रमदसम्मदौ+हर्षे,33068
33070:19:3247,अक्षेषु ग्लहः,अक्षेषु+ग्लहः,33070
33071:2454:3248,प्रजने सर्तेः,प्रजने+सर्तेः,33071
33073:476:3250,आङि युद्धे,आङि+युद्धे,33073
33077:2791:3254,मूर्तौ घनः,मूर्तौ+घनः,33077
33083:3805:3260,स्तम्बे क च,स्तम्बे+क+च,33083
33084:2331:3261,परौ घः,परौ+घः,33084
33088:1571:3266,ड्वितः क्त्रिः,ड्वितः+क्त्रिः,33088
33092:791:3270,उपसर्गे घोः किः,उपसर्गे+घोः+किः,33092
33100:1136:3277,कृञः श च,कृञः+श+च,33100
33101:610:3278,इच्छा,इच्छा,33101
33109:3547:3286,संज्ञायाम्,संज्ञायाम्,33109
33111:2337:3288,पर्यायार्हर्णोत्पत्तिषु ण्वुच्,पर्यायार्हर्णोत्पत्तिषु+ण्वुच्,33111
33114:2118:3090,नपुंसके भावे क्तः,नपुंसके+भावे+क्तः,33114
33115:3039:3290,ल्युट् च,ल्युट्+च,33115
33126:694:3305,ईषद्दुःसुषु कृच्छ्राकृच्छ्रार्थेषु खल्,ईषद्दुःसुषु+कृच्छ्राकृच्छ्रार्थेषु+खल्,33126
33129:1441:3421,छन्दसि गत्यर्थेभ्यः,छन्दसि+गत्यर्थेभ्यः,33129
33133:1228:2791,क्षिप्रवचने लृट्,क्षिप्रवचने+लृट्,33133
33134:576:2792,आशंसावचने लिङ्,आशंसावचने+लिङ्,33134
33138:2300:2796,परस्मिन् विभाषा,परस्मिन्+विभाषा,33138
33139:2986:2229,लिङ्‌निमित्ते लृङ् क्रियाऽतिपत्तौ,लिङ्‌निमित्ते+लृङ्+क्रियाऽतिपत्तौ,33139
33140:2692:2797,भूते च,भूते+च,33140
33143:3184:2800,विभाषा कथमि लिङ् च,विभाषा+कथमि+लिङ्+च,33143
33144:1081:2801,किंवृत्ते लिङ्लृटौ,किंवृत्ते+लिङ्लृटौ,33144
33146:1079:2803,किंकिलास्त्यर्थेषु लृट्,किंकिलास्त्यर्थेषु+लृट्,33146
33148:2811:2805,यच्चयत्रयोः,यच्चयत्रयोः,33148
33150:1420:2807,चित्रीकरणे च,चित्रीकरणे+च,33150
33157:612:2814,इच्छार्थेषु लिङ्लोटौ,इच्छार्थेषु+लिङ्लोटौ,33157
33158:3633:3176,समानकर्तृकेषु तुमुन्,समानकर्तृकेषु+तुमुन्,33158
33159:2982:2815,लिङ् च,लिङ्+च,33159
33162:3024:2194,लोट् च,लोट्+च,33162
33165:3854:2819,स्मे लोट्,स्मे+लोट्,33165
33166:154:2820,अधीष्टे च,अधीष्टे+च,33166
33167:1061:3179,कालसमयवेलासु तुमुन्,कालसमयवेलासु+तुमुन्,33167
33168:2985:2821,लिङ् यदि,लिङ्+यदि,33168
33172:3346:2823,शकि लिङ् च,शकि+लिङ्+च,33172
33173:582:2195,आशिषि लिङ्लोटौ,आशिषि+लिङ्लोटौ,33173
33174:1180:3313,क्तिच्क्तौ च संज्ञायाम्,क्तिच्क्तौ+च+संज्ञायाम्,33174
33175:2761:2219,माङि लुङ्,माङि+लुङ्,33175
33176:3855:2220,स्मोत्तरे लङ् च,स्मोत्तरे+लङ्+च,33176
34001:1995:2824,धातुसम्बन्धे प्रत्ययाः,धातुसम्बन्धे+प्रत्ययाः,34001
34005:3649:2828,समुच्चये सामान्यवचनस्य,समुच्चये+सामान्यवचनस्य,34005
34006:1452:3423,छन्दसि लुङ्लङ्लिटः,छन्दसि+लुङ्-लङ्-लिटः,34006
34007:2979:3424,लिङर्थे लेट्,लिङर्थे+लेट्,34007
34010:2498:3437,प्रयै रोहिष्यै अव्यथिष्यै,प्रयै+रोहिष्यै+अव्यथिष्यै,34010
34011:1903:3438,दृशे विख्ये च,दृशे+विख्ये+च,34011
34012:3345:3439,शकि णमुल्कमुलौ,शकि+णमुल्कमुलौ,34012
34013:689:3440,ईश्वरे तोसुन्कसुनौ,ईश्वरे+तोसुन्कसुनौ,34013
34014:1148:3441,कृत्यार्थे तवैकेन्केन्यत्वनः,कृत्यार्थे+तवैकेन्केन्यत्वनः,34014
34015:378:3442,अवचक्षे च,अवचक्षे+च,34015
34017:3782:3444,सृपितृदोः कसुन्,सृपितृदोः+कसुन्,34017
34020:2306:3319,परावरयोगे च,परावरयोगे+च,34020
34022:548:3343,आभीक्ष्ण्ये णमुल् च,आभीक्ष्ण्ये+णमुल्+च,34022
34026:3890:3347,स्वादुमि णमुल्,स्वादुमि+णमुल्,34026
34029:1012:3350,कर्मणि दृशिविदोः साकल्ये,कर्मणि+दृशिविदोः+साकल्ये,34029
34030:2857:3351,यावति विन्दजीवोः,यावति+विन्दजीवोः,34030
34031:1401:3352,चर्मोदरयोः पूरेः,चर्मोदरयोः+पूरेः,34031
34033:1429:3354,चेले क्नोपेः,चेले+क्नोपेः,34033
34034:2194:3355,निमूलसमूलयोः कषः,निमूलसमूलयोः+कषः,34034
34035:3413:3356,शुष्कचूर्णरूक्षेषु पिषः,शुष्कचूर्णरूक्षेषु+पिषः,34035
34036:3654:3357,समूलाकृतजीवेषु हन्कृञ्ग्रहः,समूलाकृतजीवेषु+हन्कृञ्ग्रहः,34036
34037:986:3358,करणे हनः,करणे+हनः,34037
34038:3843:3359,स्नेहने पिषः,स्नेहने+पिषः,34038
34039:3934:3360,हस्ते वर्त्तिग्रहोः,हस्ते+वर्त्तिग्रहोः,34039
34040:3894:3361,स्वे पुषः,स्वे+पुषः,34040
34041:146:3362,अधिकरणे बन्धः,अधिकरणे+बन्धः,34041
34042:3548:3363,संज्ञायाम्,संज्ञायाम्,34042
34044:843:3365,ऊर्ध्वे शुषिपूरोः,ऊर्ध्वे+शुषिपूरोः,34044
34045:770:3366,उपमाने कर्मणि च,उपमाने+कर्मणि+च,34045
34050:3639:3371,समासत्तौ,समासत्तौ,34050
34051:2494:3372,प्रमाणे च,प्रमाणे+च,34051
34052:291:3373,अपादाने परीप्सायाम्,अपादाने+परीप्सायाम्,34052
34055:2309:3377,परिक्लिश्यमाने च,परिक्लिश्यमाने+च,34055
34057:444:3379,अस्यतितृषोः क्रियाऽन्तरे कालेषु,अस्यतितृषोः+क्रियाऽन्तरे+कालेषु,34057
34061:3885:3383,स्वाङ्गे तस्प्रत्यये कृभ्वोः,स्वाङ्गे+तस्प्रत्यये+कृभ्वोः,34061
34062:2149:3384,नाधाऽर्थप्रत्यये च्व्यर्थे,नाधाऽर्थप्रत्यये+च्व्यर्थे,34062
34063:1763:3385,तूष्णीमि भुवः,तूष्णीमि+भुवः,34063
34073:1852:3172,दाशगोघ्नौ सम्प्रदाने,दाशगोघ्नौ+सम्प्रदाने,34073
34077:2976:2153,लस्य,लस्य,34077
34078:1732:2154,तिप्तस्झिसिप्थस्थमिब्वस्मस् तातांझथासाथांध्वमिड्वहिमहिङ्,तिप्तस्झिसिप्थस्थमिब्वस्मस्तातांझथासाथांध्वमिड्वहिमहिङ्,34078
34088:3104:3552,वा छन्दसि,वा+छन्दसि,34088
34105:1549:2256,झस्य रन्,झस्य+रन्,34105
34107:3752:2210,सुट् तिथोः,सुट्+तिथोः,34107
34109:3733:2226,सिजभ्यस्तविदिभ्यः च,सिजभ्यस्तविदिभ्यः+च,34109
34110:498:2227,आतः,आतः,34110
34113:1728:2166,तिङ्शित्सार्वधातुकम्,तिङ्शित्+सार्वधातुकम्,34113
34115:2994:2172,लिट् च,लिट्+च,34115
41001:1379:182,ङ्याप्प्रातिपदिकात्‌,ङ्याप्प्रातिपदिकात्,41001
41002:3895:183,स्वौजसमौट्छष्टाभ्याम्भिस्ङेभ्याम्भ्यस्ङसिभ्याम्भ्यस्ङसोसाम्ङ्योस्सुप्‌,स्वौजसमौट्‍छस्टाभ्याम्भिस्ङेभ्याम्भ्यस्ङसिभ्याम्भ्यस्ङसोसाम्ङ्योस्सुप्,41002
41003:3822:453,स्त्रियाम्,स्त्रियाम्,41003
41011:2734:459,मनः,मनः,41011
41014:214:469,अनुपसर्जनात्‌,अनुपसर्जनात्,41014
41015:1558:470,टिड्ढाणञ्द्वयसज्दघ्नञ्मात्रच्तयप्ठक्ठञ्कञ्क्वरपः,टिड्‍ढाणञ्द्वयसज्दघ्नञ्मात्रच्तयप्ठक्ठञ्कञ्क्वरपः,41015
41018:3676:476,सर्वत्र लोहितादिकतान्तेभ्यः,सर्वत्र+लोहितादिकतान्तेभ्यः,41018
41020:3064:478,वयसि प्रथमे,वयसि+प्रथमे,41020
41021:1945:479,द्विगोः,द्विगोः,41021
41034:3230:491,विभाषा सपूर्वस्य,विभाषा+सपूर्वस्य,41034
41056:2018:512,न क्रोडादिबह्वचः,न+क्रोडादिबह्वचः,41056
41061:3148:516,वाहः,वाहः,41061
41072:3549:526,संज्ञायाम्,संज्ञायाम्,41072
41076:1650:530,तद्धिताः,तद्धिताः,41076
41079:1318:1199,गोत्रावयवात्‌,गोत्रावयवात्,41079
41090:2883:1083,यूनि लुक्,यूनि+लुक्,41090
41099:2099:1101,नडादिभ्यः फक्,नडादिभ्यः+फक्,41099
41109:3004:1112,लुक् स्त्रियाम्,लुक्+स्त्रियाम्,41109
41110:420:1113,अश्वादिभ्यः फञ्,अश्वादिभ्यः+फञ्,41110
41116:975:1119,कन्यायाः कनीन च,कन्यायाः+कनीन+च,41116
41121:1978:1124,द्व्यचः,द्‍व्यचः,41121
41133:1572:1139,ढकि लोपः,ढकि+लोपः,41133
41145:3325:1168,व्यन् सपत्ने,व्यन्+सपत्ने,41145
41147:1314:1171,गोत्रस्त्रियाः कुत्सने ण च,गोत्रस्त्रियाः+कुत्सने+ण+च,41147
41154:1722:1178,तिकादिभ्यः फिञ्,तिकादिभ्यः+फिञ्,41154
41163:1519:1090,जीवति तु वंश्ये युवा,जीवति+तु+वंश्ये+युवा,41163
41164:2707:1091,भ्रातरि च ज्यायसि,भ्रातरि+च+ज्यायसि,41164
41166:3282:,वृद्धस्य च पूजायाम्,वृद्धस्य+च+पूजायाम्,41166
41174:1779:1192,ते तद्राजाः,ते+तद्राजाः,41174
41178:2044:1197,न प्राच्यभर्गादियौधेयादिभ्यः,न+प्राच्यभर्गादियौधेयादिभ्यः,41178
42003:2086:1204,नक्षत्रेण युक्तः कालः,नक्षत्रेण+युक्तः+कालः,42003
42008:1035:1209,कलेर्ढक्,कलेर्ढक्,42008
42023:3215:1225,विभाषा फाल्गुनीश्रवणाकार्त्तिकीचैत्रीभ्यः,विभाषा+फाल्गुनीश्रवणाकार्त्तिकीचैत्रीभ्यः,42023
42028:1437:1230,छ च,छ+च,42028
42036:2374:1242,पितृव्यमातुलमातामहपितामहाः,पितृव्यमातुलमातामहपितामहाः,42036
42037:1705:1243,तस्य समूहः,तस्य+समूहः,42037
42043:1344:1251,ग्रामजनबन्धुसहायेभ्यः तल्,ग्रामजनबन्धुसहायेभ्यः+तल्,42043
42050:1252:1259,खलगोरथात्‌,खलगोरथात्,42050
42066:1470:1278,छन्दोब्राह्मणानि च तद्विषयाणि,छन्दोब्राह्मणानि+च+तद्विषयाणि,42066
42068:1784:1280,तेन निर्वृत्तम्,तेन+निर्वृत्तम्,42068
42069:1696:1281,तस्य निवासः,तस्य+निवासः,42069
42073:2612:1285,बह्वचः कूपेषु,बह्वचः+कूपेषु,42073
42074:726:1286,उदक् च विपाशः,उदक्+च+विपाशः,42074
42076:3826:1288,स्त्रीषु सौवीरसाल्वप्राक्षु,स्त्रीषु+सौवीरसाल्वप्राक्षु,42076
42078:2959:1290,रोणी,रोणी,42078
42084:1563:1303,ठक्छौ च,ठक्छौ+च,42084
42089:3394:1308,शिखाया वलच्,शिखाया+वलच्,42089
42092:3430:1312,शेषे,शेषे,42092
42099:1049:1319,कापिश्याः ष्फक्,कापिश्याः+ष्फक्,42099
42103:3076:1323,वर्णौ वुक्,वर्णौ+वुक्,42103
42123:2960:1347,रोपधेतोः प्राचाम्,रोपधेतोः+प्राचाम्,42123
42126:1176:1350,क्अच्छाग्निवक्त्रगर्त्तोत्तरपदात्‌,कच्छाग्निवक्‍त्रगर्त्तोत्तरपदात्,42126
42130:3187:1354,विभाषा कुरुयुगन्धराभ्याम्,विभाषा+कुरुयुगन्धराभ्याम्,42130
42131:2723:1355,मद्रवृज्योः कन्,मद्रवृज्योः+कन्,42131
42140:2925:1364,राज्ञः क च,राज्ञः+क+च,42140
42142:973:1366,कन्थापलदनगरग्रामह्रदोत्तरपदात्‌,कन्थापलदनगरग्रामह्रदोत्तरपदात्,42142
43009:4:1379,अ साम्प्रतिके,अ+साम्प्रतिके,43009
43012:3451:1382,श्राद्धे शरदः,श्राद्धे+शरदः,43012
43013:3219:1383,विभाषा रोगातपयोः,विभाषा+रोगातपयोः,43013
43019:1446:3450,छन्दसि ठञ्,छन्दसि+ठञ्,43019
43024:3213:1392,विभाषा पूर्वाह्णापराह्णाभ्याम्,विभाषा+पूर्वाह्णापराह्णाभ्याम्,43024
43025:1614:1393,तत्र जातः,तत्र+जातः,43025
43029:2275:1402,पथः पन्थ च,पथः+पन्थ+च,43029
43031:2:1404,अ च,अ+च,43031
43033:82:1406,अणञौ च,अणञौ+च,43033
43038:1140:1413,कृतलब्धक्रीतकुशलाः,कृतलब्धक्रीतकुशलाः,43038
43039:2546:1414,प्रायभवः,प्रायभवः,43039
43041:3557:1416,संभूते,संभूते,43041
43044:809:1419,उप्ते च,उप्ते+च,43044
43051:3331:1426,व्याहरति मृगः,व्याहरति+मृगः,43051
43053:1618:1428,तत्र भवः,तत्र+भवः,43053
43070:2442:1449,पौरोडाशपुरोडाशात् ष्ठन्,पौरोडाशपुरोडाशात्+ष्ठन्,43070
43074:1599:1453,तत आगतः,तत+आगतः,43074
43082:2749:1462,मयट् च,मयट्+च,43082
43083:2491:1463,प्रभवति,प्रभवति,43083
43086:309:1466,अभिनिष्क्रामति द्वारम्,अभिनिष्क्रामति+द्वारम्,43086
43087:149:1467,अधिकृत्य कृते ग्रन्थे,अधिकृत्य+कृते+ग्रन्थे,43087
43095:2642:1475,भक्तिः,भक्तिः,43095
43101:1787:1481,तेन प्रोक्तम्,तेन+प्रोक्तम्,43101
43105:2391:1485,पुराणप्रोक्तेषु ब्राह्मणकल्पेषु,पुराणप्रोक्तेषु+ब्राह्मणकल्पेषु,43105
43115:756:1495,उपज्ञाते,उपज्ञाते,43115
43116:1141:1496,कृते ग्रन्थे,कृते+ग्रन्थे,43116
43117:3550:1497,संज्ञायाम्,संज्ञायाम्,43117
43130:2029:1510,न दण्डमाणवान्तेवासिषु,न+दण्डमाणवान्तेवासिषु,43130
43134:1703:1514,तस्य विकारः,तस्य+विकारः,43134
43135:382:1515,अवयवे च प्राण्योषधिवृक्षेभ्यः,अवयवे+च+प्राण्योषधिवृक्षेभ्यः,43135
43138:1802:1518,त्रपुजतुनोः षुक्,त्रपुजतुनोः+षुक्,43138
43148:3341:1528,व्रीहेः पुरोडाशे,व्रीहेः+पुरोडाशे,43148
43153:1500:1531,जातरूपेभ्यः परिमाणे,जातरूपेभ्यः+परिमाणे,43153
43162:2772:1540,माने वयः,माने+वयः,43162
43163:2571:1541,फले लुक्,फले+लुक्,43163
43166:3014:1545,लुप् च,लुप्+च,43166
44002:1783:1550,तेन दीव्यति खनति जयति जितम्,तेन+दीव्यति+खनति+जयति+जितम्,44002
44003:3567:1551,संस्कृतम्,संस्कृतम्,44003
44005:1673:1553,तरति,तरति,44005
44008:1398:1556,चरति,चरति,44008
44009:461:1557,आकर्षात् ष्ठल्,आकर्षात्+ष्ठल्,44009
44010:2334:1558,पर्पादिभ्यः ष्ठन्,पर्पादिभ्यः+ष्ठन्,44010
44016:2655:1566,भस्त्राऽऽदिभ्यः ष्ठन्,भस्त्राऽऽदिभ्यः+ष्ठन्,44016
44018:92:1568,अण् कुटिलिकायाः,अण्+कुटिलिकायाः,44018
44022:3565:1572,संसृष्टे,संसृष्टे,44022
44030:2496:1580,प्रयच्छति गर्ह्यम्,प्रयच्छति+गर्ह्यम्,44030
44032:704:1582,उञ्छति,उञ्छति,44032
44033:2901:1583,रक्षति,रक्षति,44033
44035:2254:1585,पक्षिमत्स्यमृगान् हन्ति,पक्षिमत्स्यमृगान्+हन्ति,44035
44043:3628:1593,समवायान् समवैति,समवायान्+समवैति,44043
44047:1694:1597,तस्य धर्म्यम्,तस्य+धर्म्यम्,44047
44048:94:1598,अण् महिष्यादिभ्यः,अण्+महिष्यादिभ्यः,44048
44050:375:1600,अवक्रयः,अवक्रयः,44050
44053:1097:1603,किशरादिभ्यः ष्ठन्,किशरादिभ्यः+ष्ठन्,44053
44055:3397:1605,शिल्पम्‌,शिल्पम्,44055
44057:2516:1607,प्रहरणम्,प्रहरणम्,44057
44061:3408:1611,शीलम्,शीलम्,44061
44069:1617:1620,तत्र नियुक्तः,तत्र+नियुक्तः,44069
44072:960:1623,कठिनान्तप्रस्तारसंस्थानेषु व्यवहरति,कठिनान्तप्रस्तारसंस्थानेषु+व्यवहरति,44072
44073:2165:1624,निकटे वसति,निकटे+वसति,44073
