Sutra krama:Akaaraadi krama:Kaumudi krama,Sutra,PadacCheda,Sutra krama
32058:3845:432,स्पृशोऽनुदके क्विन्,स्पृशः+अनुदके+क्विन्,32058
32059:864:373,ऋत्विग्दधृक्स्रग्दिगुष्णिगञ्चुयुजिक्रुञ्चां च,ऋत्विग्दधृक्स्रग्दिगुष्णिगञ्चुयुजिक्रुञ्चाम्+च,32059
32060:1797:429,त्यदादिषु दृशोऽनालोचने कञ् च,त्यदादिषु+दृशः+अनालोचने+कञ्+च,32060
32061:3582:2975,सत्सूद्विषद्रुहदुहयुजविदभिदच्छिदजिनीराजामुपसर्गेऽपि क्विप्‌,सत्सूद्विषद्रुहदुहयुजविदभिदच्छिद-जिनीराजाम्+उपसर्गे+अपि+क्विप्,32061
32063:1456:3409,छन्दसि सहः,छन्दसि+सहः,32063
32065:1039:3411,कव्यपुरीषपुरीष्येषु ञ्युट्,कव्यपुरीषपुरीष्येषु+ञ्युट्,32065
32066:3928:3412,हव्येऽनन्तः पादम्,हव्येः+अनन्तःपादम्,32066
32067:1482:3413,जनसनखनक्रमगमो विट्,जनसनखनक्रमगमः+विट्,32067
32069:1206:2978,क्रव्ये च,क्रव्ये+च,32069
32070:1893:2979,दुहः कब् घश्च,दुहः+कप्+घः+च,32070
32071:2742:3414,मन्त्रे श्वेतवहौक्थशस्पुरोडाशो ण्विन्,मन्त्रे+श्वेतवहोक्थशस्पुरोडाशः+ण्विन्,32071
32072:394:3415,अवे यजः,अवे+यजः,32072
32073:3159:3417,विजुपे छन्दसि,विच्+उपे+छन्दसि,32073
32074:503:3418,आतो मनिन्क्वनिप्वनिपश्च,आतः+मनिन्क्वनिप्वनिपः+च,32074
32075:264:3980,अन्येभ्योऽपि दृश्यन्ते,अन्येभ्यः+अपि+दृश्यन्ते,32075
32076:1223:2983,क्विप् च,क्विप्+च,32076
32077:3827:2987,स्थः क च,स्थः+क+च,32077
32078:3765:2988,सुप्यजातौ णिनिस्ताच्छिल्ये,सुपि+अजातौ+णिनिः+ताच्छील्ये,32078
32080:3336:2990,व्रते,व्रते,32080
32081:2598:2991,बहुलमाभीक्ष्ण्ये,बहुलम्+आभीक्ष्ण्ये,32081
32082:2733:2992,मनः,मनः,32082
32083:514:2993,आत्ममाने खश्च,आत्ममाने+खः+च,32083
32084:2691:2995,भूते,भूते,32084
32085:985:2996,करणे यजः,करणे+यजः,32085
32086:1015:2997,कर्मणि हनः,कर्मणि+हनः,32086
32087:2630:2998,ब्रह्मभ्रूणवृत्रेषु क्विप्‌,ब्रह्मभ्रूणवृत्रेषु+क्विप्,32087
32089:3744:2999,सुकर्मपापमन्त्रपुण्येषु कृञः,सुकर्मपापमन्त्रपुण्येषु+कृञः,32089
32090:3797:3000,सोमे सुञः,सोमे+सुञः,32090
32091:27:3001,अग्नौ चेः,अग्नौ+चेः,32091
32092:1017:3002,कर्मण्यग्न्याख्यायाम्,कर्मणि+अग्न्याख्यायाम्,32092
32093:1016:3003,कर्मणीनिर्विक्रियः,कर्मणि+इनि+विक्रियः,32093
32095:2916:3005,राजनि युधिकृञः,राजनि+युधिकृञः,32095
32096:3705:3006,सहे च,सहे+च,32096
32097:3613:3007,सप्तम्यां जनेर्डः,सप्तम्याम्+जनेः+डः,32097
32098:2265:3008,पञ्चम्यामजातौ,पञ्चम्याम्+अजातौ,32098
32099:792:3009,उपसर्गे च संज्ञायाम्,उपसर्गे+च+संज्ञायाम्,32099
32100:233:3010,अनौ कर्मणि,अनौ+कर्मणि,32100
32101:266:3011,अन्येष्वपि दृश्यते,अन्येषु+अपि+दृश्यते,32101
32102:2206:3013,निष्ठा,निष्ठा,32102
32105:1451:3093,छन्दसि लिट्,छन्दसि+लिट्,32105
32106:2990:3094,लिटः कानज्वा,लिटः+कानच्+वा,32106
32108:2666:3097,भाषायां सदवसश्रुवः,भाषायाम्+सदवसश्रुवः,32108
32109:806:3098,उपेयिवाननाश्वाननूचानश्च,उपेयिवान्+अनाश्वान्+अनूचानः+च,32109
32110:3007:2218,लुङ्,लुङ्,32110
32111:173:2205,अनद्यतने लङ्,अनद्यतने+लङ्,32111
32112:307:2773,अभिज्ञावचने लृट्,अभिज्ञावचने+लृट्,32112
32113:2055:2774,न यदि,न+यदि,32113
32114:3232:2775,विभाषा साकाङ्क्षे,विभाषा+साकाङ्क्षे,32114
32115:2329:2171,परोक्षे लिट्,परोक्षे+लिट्,32115
32116:3929:2776,हशश्वतोर्लङ् च,हशश्वतोः+लङ्+च,32116
32117:2506:2777,प्रश्ने चासन्नकाले,प्रश्ने+च+आसन्नकाले,32117
32118:2970:2778,लट् स्मे,लट्+स्मे,32118
32119:282:2779,अपरोक्षे च,अपरोक्षे+च,32119
32120:2109:2780,ननौ पृष्टप्रतिवचने,ननौ+पृष्टप्रतिवचने,32120
32122:2392:2782,पुरि लुङ् चास्मे,पुरि+लुङ्+च+अस्मे,32122
32123:3078:2151,वर्तमाने लट्,वर्त्तमाने+लट्,32123
32124:2969:3100,लटः शतृशानचावप्रथमासमानाधिकरणे,लटः+शतृशनचा+अप्रथमासमानाधिकरणे,32124
32125:3667:3102,सम्बोधने च,सम्बोधने+च,32125
32126:2964:3103,लक्षणहेत्वोः क्रियायाः,लक्षणहेत्वोः+क्रियायाः,32126
32128:2408:3108,पूङ्यजोः शानन्,पूङ्यजोः+शानन्,32128
32129:1710:3109,ताच्छील्यवयोवचनशक्तिषु चानश्,ताच्छील्यवयोवचनशक्तिषु+चानश्,32129
32130:607:3110,इङ्धार्योः शत्रकृच्छ्रिणि,इङ्-धार्य्योः+शतृ+अकृच्छ्रिणि,32130
32132:3750:3112,सुञो यज्ञसंयोगे,सुञः+यज्ञसंयोगे,32132
32133:364:3113,अर्हः पूजायाम्,अर्हः+पूजायाम्,32133
32134:468:3114,आक्वेस्तच्छीलतद्धर्मतत्साधुकारिषु,आ+क्वे+तच्छीलतद्धर्मतत्साधुकारिषु,32134
32135:1776:3115,तृन्,तृन्,32135
32136:366:3116,अलंकृञ्निराकृञ्प्रजनोत्पचोत्पतोन्मदरुच्यपत्रपवृतुवृधुसहचर इष्णुच्,अलंकृञ्निराकृञ्प्रजनोत्पचोत्पतोन्मदरुच्यपत्रपवृतुवृधुसहचर+इष्णुच्,32136
32139:1353:3119,ग्लाजिस्थश्च क्स्नुः,ग्लाजिस्थः+च+क्स्नुः,32139
32140:1803:3120,त्रसिगृधिधृषिक्षिपेः क्नुः,त्रसिगृधिधृषिक्षिपेः+क्नुः,32140
32141:3364:3121,शमित्यष्टाभ्यो घिनुण्,शमिति+अष्टाभ्यः+घिनुण्,32141
32142:3556:3122,संपृचानुरुधाङ्यमाङ्यसपरिसृसंसृजपरिदेविसंज्वरपरिक्षिपपरिरटपरिवदपरिदहपरिमुहदुषद्विषद्रुहदुहयुजाक्रीडविविचत्यजरजभजातिचरापचरामुषाभ्याहनश्च,संपृचानुरुधाङ्यमाङ्यसपरिसृसंसृज-परिदेविसंज्वरपरिक्षिपपरिरटपरिवदपरिदहपरिमुह-दुषद्विषद्रुहदुहयुजाक्रीडविविचत्यजरज-भजातिचरापचरामुषाभ्याहनः+च,32142
32143:3318:3123,वौ कषलसकत्थस्रम्भः,वौ+कषलसकत्थस्रम्भः,32143
32144:297:3124,अपे च लषः,अपे+च+लषः,32144
32145:2556:3125,प्रे लपसृद्रुमथवदवसः,प्रे+लपसृद्रुमथवदवसः,32145
32146:2189:3126,निन्दहिंसक्लिशखादविनाशपरिक्षिपपरिरटपरिवादिव्याभाषासूञो वुञ्,निन्दहिंसक्लिशखादविनाशपरिक्षिपपरिरटपरिवादिव्याभाषासूयः+वुञ्,32146
32147:1918:3127,देविक्रुशोश्चोपसर्गे,देविक्रुशोः+च+पसर्गे,32147
32148:1403:3128,चलनशब्दार्थादकर्मकाद्युच्,चलनशब्दार्थात्+अकर्मकात्+युच्,32148
32149:203:3129,अनुदात्तेतश्च हलादेः,अनुदात्तेतः+च+हलादेः,32149
32150:1522:3130,जुचङ्क्रम्यदन्द्रम्यसृगृधिज्वलशुचलषपतपदः,जुचङ्क्रम्यदन्द्रम्यसृगृधिज्वलशुचलषपतपदः,32150
32151:1215:3131,क्रुधमण्डार्थेभ्यश्च,क्रुधमण्डार्थेभ्यः+च,32151
32152:2054:3132,न यः,न+यः,32152
32153:3776:3133,सूददीपदीक्षश्च,सूददीपदीक्षः+च,32153
32154:2975:3134,लषपतपदस्थाभूवृषहनकमगमशॄभ्य उकञ्,लषपतपदस्थाभूवृषहनकमगमशॄभ्य+उकञ्,32154
32155:1492:3135,जल्पभिक्षकुट्टलुण्टवृङः षाकन्,जल्पभिक्षकुट्टलुण्ठवृङः+षाकन्,32155
32157:1516:3137,जिदृक्षिविश्रीण्वमाव्यथाभ्यमपरिभूप्रसूभ्यश्च,जिदृक्षिविश्रीण्वमाव्यथाभ्यमपरिभूप्रसूभ्यः+च,32157
32158:3846:3138,स्पृहिगृहिपतिदयिनिद्रातन्द्राश्रद्धाभ्य आलुच्,स्पृहिगृहिपतिदयिनिद्रातन्द्राश्रद्धाभ्यः+आलुच्,32158
32159:1846:3139,दाधेट्सिशदसदो रुः,दाधेट्-सिशदसदः+रुः,32159
32160:3780:3140,सृघस्यदः क्मरच्,सृघस्यदः+क्मरच्,32160
32161:2645:3141,भञ्जभासमिदो घुरच्,भञ्जभासमिदः+घुरच्,32161
32162:3163:3142,विदिभिदिच्छिदेः कुरच्,विदिभिदिच्छिदेः+कुरच्,32162
32163:627:3143,इण्नश्जिसर्त्तिभ्यः क्वरप्‌,इण्नश्जिसर्त्तिभ्यः+क्वरप्,32163
32166:2812:3146,यजजपदशां यङः,यजजपदशाम्+यङः,32166
32167:2122:3147,नमिकम्पिस्म्यजसकमहिंसदीपो रः,नमिकम्पिस्म्यजसकमहिंसदीपः+रः,32167
32168:3590:3148,सनाशंसभिक्ष उः,सनाशंसभिक्षः+उः,32168
32171:527:3151,आदृगमहनजनः किकिनौ लिट् च,आदृगमहनजनः+किकिनौ+लिट्+च,32171
32172:3868:3152,स्वपितृषोर्नजिङ्,स्वपितृषोः+नजिङ्,32172
32173:3423:3153,शॄवन्द्योरारुः,शॄवन्द्योः+आरुः,32173
32174:2672:3154,भियः क्रुक्लुकनौ,भियः+क्रुक्लुकनौ,32174
32175:3840:3155,स्थेशभासपिसकसो वरच्,स्थेशभासपिसकसः+वरच्,32175
32176:2843:3156,यश्च यङः,यः+च+यङः,32176
32177:2705:3157,भ्राजभासधुर्विद्युतोर्जिपॄजुग्रावस्तुवः क्विप्‌,भ्राजभासधुर्विद्युतोर्जिपॄजुग्रावस्तुवः+क्विप्,32177
32178:262:3158,अन्येभ्योऽपि दृश्यते,अन्येभ्यः+अपि+दृश्यते,32178
32179:2684:3159,भुवः संज्ञाऽन्तरयोः,भुवः+संज्ञाऽन्तरयोः,32179
32180:3179:3160,विप्रसम्भ्यो ड्वसंज्ञायाम्,विप्रसम्भ्यः+डु+असंज्ञायाम्,32180
32181:1986:3161,धः कर्मणि ष्ट्रन्,धः+कर्मणि+ष्ट्रन्,32181
32182:1850:3162,दाम्नीशसयुयुजस्तुतुदसिसिचमिहपतदशनहः करणे,दाम्नीशसयुयुजस्तुतुदसिसिचमिहपतदशनहः+करणे,32182
32183:3919:3164,हलसूकरयोः पुवः,हलसूकरयोः+पुवः,32183
32184:348:3165,अर्तिलूधूसूखनसहचर इत्रः,अर्तिलूधूसूखनसहचरः+इत्रः,32184
32185:2399:3166,पुवः संज्ञायाम्,पुवः+संज्ञायाम्,32185
32186:993:3167,कर्तरि चर्षिदेवतयोः,कर्तरि+च+ऋषिदेवतयोः,32186
32187:1553:3088,ञीतः क्तः,ञीतः+क्तः,32187
32188:2714:3089,मतिबुद्धिपूजार्थेभ्यश्च,मतिबुद्धिपूजार्थेभ्यः+च,32188
33002:2693:3170,भूतेऽपि दृश्यन्ते,भूते+अपि+दृश्यन्ते,33002
33003:2651:3171,भविष्यति गम्यादयः,भविष्यति+गम्यादयः,33003
33004:2858:2783,यावत्पुरानिपातयोर्लट्,यावत्पुरानिपातयोः+लट्,33004
33005:3185:2784,विभाषा कदाकर्ह्योः,विभाषा+कदाकर्ह्योः,33005
33006:1082:2785,किंवृत्ते लिप्सायाम्,किंवृत्ते+लिप्सायाम्,33006
33007:3000:2786,लिप्स्यमानसिद्धौ च,लिप्स्यमानसिद्धौ+च,33007
33008:3026:2787,लोडर्थलक्षणे च,लोडर्थलक्षणे+च,33008
33009:2983:2788,लिङ् चोर्ध्वमौहूर्तिके,लिङ्+च+ऊर्ध्वमौहूर्तिके,33009
33010:1755:3175,तुमुन्ण्वुलौ क्रियायां क्रियार्थायाम्‌,तुमुन्ण्वुलौ+क्रियायाम्+क्रियार्थायाम्,33010
33012:91:3181,अण् कर्मणि च,अण्+कर्मणि+च,33012
33013:3020:2193,लृट् शेषे च,लृट्+शेषे+च,33013
33014:3019:3107,लृटः सद् वा,लृटः+सत्+वा,33014
33015:174:2185,अनद्यतने लुट्,अनद्यतने+लुट्,33015
33016:2283:3182,पदरुजविशस्पृशो घञ्,पदरुजविशस्पृशः+घञ्,33016
33017:3779:3183,सृ स्थिरे,सृ+स्थिरे,33017
33018:2663:3184,भावे,भावे,33018
33019:8:3186,अकर्तरि च कारके संज्ञायाम्,अकर्तरि+च+कारके+संज्ञायाम्,33019
33020:2315:3190,परिमणाख्यायां सर्वेभ्यः,परिमणाख्यायाम्+सर्वेभ्यः,33020
33022:793:3192,उपसर्गे रुवः,उपसर्गे+रुवः,33022
33023:3648:3194,समि युद्रुदुवः,समि+युद्रुदुवः,33023
33024:3452:3195,श्रिणीभुवोऽनुपसर्गे,श्रिणीभुवः+अनुपसर्गे,33024
33025:3319:3196,वौ क्षुश्रुवः,वौ+क्षुश्रुवः,33025
33027:2555:3198,प्रे द्रुस्तुस्रुवः,प्रे+द्रुस्तुस्रुवः,33027
33028:2196:3199,निरभ्योः पूल्वोः,निरभ्योः+पूल्वोः,33028
33030:1160:3201,कॄ धान्ये,कॄ+धान्ये,33030
33031:2821:3202,यज्ञे समि स्तुवः,यज्ञे+समि+स्तुवः,33031
33032:2559:3203,प्रे स्त्रोऽयज्ञे,प्रे+स्त्रः+अयज्ञे,33032
33033:2483:3204,प्रथने वावशब्दे,प्रथने+वौ+अशब्दे,33033
33034:1468:3205,छन्दोनाम्नि च,छन्दोनाम्नि+च,33034
33035:738:3207,उदि ग्रहः,उदि+ग्रहः,33035
33036:3647:3208,समि मुष्टौ,समि+मुष्टौ,33036
33037:2312:3209,परिन्योर्नीणोर्द्यूताभ्रेषयोः,परिन्योः+नीणोः+द्यूताभ्रेषयोः,33037
33038:2305:3210,परावनुपात्यय इणः,परौ+अवनुपात्यये+इणः,33038
33039:3332:3211,व्युपयोः शेतेः पर्याये,व्युपयोः+शेतेः+पर्याये,33039
33040:3933:3212,हस्तादाने चेरस्तेये,हस्तादाने+चेः+अस्तेये,33040
33041:2201:3213,निवासचितिशरीरोपसमाधानेष्वादेश्च कः,निवासचितिशरीरोपसमाधानेषु+आदेः+च+कः,33041
33042:3525:3214,संघे चानौत्तराधर्ये,संघे+च+अनौत्तराधर्ये,33042
33043:1028:3215,कर्मव्यतिहारे णच् स्त्रियाम्,कर्मव्यतिहारे+णच्+स्त्रियाम्,33043
33044:313:3218,अभिविधौ भाव इनुण्,अभिविधौ+भावे+इनुण्,33044
33045:467:3220,आक्रोशेऽवन्योर्ग्रहः,आक्रोशे+अवन्योः+ग्रहः,33045
33046:2557:3221,प्रे लिप्सायाम्,प्रे+लिप्सायाम्,33046
33047:2333:3222,परौ यज्ञे,परौ+यज्ञे,33047
33048:2247:3223,नौ वृ धान्ये,नौ+वृ+धान्ये,33048
33049:739:3224,उदि श्रयतियौतिपूद्रुवः,उदि+श्रयतियौतिपूद्रुवः,33049
33050:3240:3225,विभाषाऽऽङि रुप्लुवोः,विभाषा+आङि+रुप्लुवोः,33050
33051:392:3226,अवे ग्रहो वर्षप्रतिबन्धे,अवे+ग्रहः+वर्षप्रतिबन्धे,33051
33052:2558:3227,प्रे वणिजाम्,प्रे+वणिजाम्,33052
33053:2912:3228,रश्मौ च,रश्मौ+च,33053
33055:2332:3230,परौ भुवोऽवज्ञाने,परौ+भुवः+अवज्ञाने,33055
33058:1338:3234,ग्रहवृदृनिश्चिगमश्च,ग्रहवृदृनिश्चिगमः+च,33058
33060:2246:3237,नौ ण च,नौ+ण+च,33060
33061:3324:3238,व्यधजपोरनुपसर्गे,व्यधजपोः+अनुपसर्गे,33061
33063:2837:3240,यमः समुपनिविषु,यमः+समुपनिविषु,33063
33064:2245:3241,नौ गदनदपठस्वनः,नौ+गदनदपठस्वनः,33064
33065:1219:3242,क्वणो वीणायां च,क्वणः+वीणायाम्+च,33065
33066:2176:3243,नित्यं पणः परिमाणे,नित्यम्+पणः+परिमाणे,33066
33067:2722:3244,मदोऽनुपसर्गे,मदः+अनुपसर्गे,33067
33068:2493:3245,प्रमदसम्मदौ हर्षे,प्रमदसम्मदौ+हर्षे,33068
33069:3652:3246,समुदोरजः पशुषु,समुदोः+अजः+पशुषु,33069
33070:19:3247,अक्षेषु ग्लहः,अक्षेषु+ग्लहः,33070
33071:2454:3248,प्रजने सर्तेः,प्रजने+सर्तेः,33071
33072:3981:3249,ह्वः सम्प्रसारणं च न्यभ्युपविषु,ह्वः+सम्प्रसारणम्+च+न्यभ्युपविषु,33072
33073:476:3250,आङि युद्धे,आङि+युद्धे,33073
33075:2665:3252,भावेऽनुपसर्गस्य,भावे+अनुपसर्गस्य,33075
33076:3898:3253,हनश्च वधः,हनः+च+वधः,33076
33077:2791:3254,मूर्तौ घनः,मूर्तौ+घनः,33077
33078:244:3255,अन्तर्घनो देशे,अन्तर्घनः+देशे,33078
33079:23:3256,अगारैकदेशे प्रघणः प्रघाणश्च,अगारैकदेशे+प्रघणः+प्रघाणः+च,33079
33080:749:3257,उद्घनोऽत्याधानम्,उद्‍घनः+अत्याधानम्,33080
33082:987:3259,करणेऽयोविद्रुषु,करणे+अयोविद्रुषु,33082
33083:3805:3260,स्तम्बे क च,स्तम्बे+क+च,33083
33084:2331:3261,परौ घः,परौ+घः,33084
33086:3526:3264,संघोद्घौ गणप्रशंसयोः,संघोद्‍घौ+गणप्रशंसयोः,33086
33088:1571:3266,ड्वितः क्त्रिः,ड्वितः+क्त्रिः,33088
33090:2814:3268,यजयाचयतविच्छप्रच्छरक्षो नङ्,यजयाचयतविच्छप्रच्छरक्षः+नङ्,33090
33092:791:3270,उपसर्गे घोः किः,उपसर्गे+घोः+किः,33092
33093:1019:3271,कर्मण्यधिकरणे च,कर्मणि+अधिकरणे+च,33093
33094:3816:3272,स्त्रियां क्तिन्,स्त्रियाम्+क्तिन्,33094
33095:3831:3273,स्थागापापचां भावे,स्थागापापचः+भावे,33095
33096:2741:3420,मन्त्रे वृषेषपचमनविदभूवीरा उदात्तः,मन्त्रे+वृषेषपचमनविदभूवीराः+उदात्तः,33096
33097:833:3274,ऊतियूतिजूतिसातिहेतिकीर्तयश्च,ऊतियूतिजूतिसातिहेतिकीर्त्तयः+च,33097
33098:3335:3275,व्रजयजोर्भावे क्यप्‌,व्रजयजोः+भावे+क्यप्,33098
33099:3543:3276,संज्ञायां समजनिषदनिपतमनविदषुञ्शीङ्भृञिणः,संज्ञायाम्+समजनिषदनिपतमनविदषुञ्शीङ्भृञिणः,33099
33100:1136:3277,कृञः श च,कृञः+श+च,33100
33101:610:3278,इच्छा,इच्छा,33101
33102:3:3279,अ प्रत्ययात्‌,अ+प्रत्ययात्,33102
33103:1302:3280,गुरोश्च हलः,गुरोः+च+हलः,33103
33104:3497:3281,षिद्भिदादिभ्योऽङ्,षिद्भिदादिभ्यः+अङ्,33104
33105:1422:3282,चिन्तिपूजिकथिकुम्बिचर्चश्च,चिन्तिपूजिकथिकुम्बिचर्चः+च,33105
33106:500:3283,आतश्चोपसर्गे,आतः+च+उपसर्गे,33106
33107:1595:3284,ण्यासश्रन्थो युच्,ण्यासश्रन्थः+युच्,33107
33108:2957:3285,रोगाख्यायां ण्वुल् बहुलम्,रोगाख्यायाम्+ण्वुल्+बहुलम्,33108
33109:3547:3286,संज्ञायाम्,संज्ञायाम्,33109
33110:3239:3287,विभाषाऽऽख्यानपरिप्रश्नयोरिञ् च,विभाषा+आख्यानपरिप्रश्नयोः+इञ्+च,33110
33111:2337:3288,पर्यायार्हर्णोत्पत्तिषु ण्वुच्,पर्यायार्हर्णोत्पत्तिषु+ण्वुच्,33111
33112:466:3289,आक्रोशे नञ्यनिः,आक्रोशे+नञि+अनिः,33112
33113:1145:2841,कृत्यल्युटो बहुलम्,कृत्यल्युटः+बहुलम्,33113
33114:2118:3090,नपुंसके भावे क्तः,नपुंसके+भावे+क्तः,33114
33115:3039:3290,ल्युट् च,ल्युट्+च,33115
33116:1011:3291,कर्मणि च येन संस्पर्शात्‌ कर्तुः शरीरसुखम्,कर्मणि+च+येन+संस्पर्शात्+कर्तुः+शरीरसुखम्,33116
33117:983:3293,करणाधिकरणयोश्च,करणाधिकरणयोः+च,33117
33118:2380:3296,पुंसि संज्ञायां घः प्रायेण,पुंसि+संज्ञायाम्+घः+प्रायेण,33118
33119:1308:3298,गोचरसंचरवहव्रजव्यजापणनिगमाश्च,गोचरसंचरवहव्रजव्यजापणनिगमाः+च,33119
33120:393:3299,अवे तॄस्त्रोर्घञ्,अवे+तॄस्त्रोः+घञ्,33120
33122:160:3301,अध्यायन्यायोद्यावसंहाराधारावयाश्च,अध्यायन्यायोद्यावसंहाराः+च,33122
33125:1249:3304,खनो घ च,खनः+घ+च,33125
33126:694:3305,ईषद्दुःसुषु कृच्छ्राकृच्छ्रार्थेषु खल्,ईषद्दुःसुषु+कृच्छ्राकृच्छ्रार्थेषु+खल्,33126
33127:1002:3308,कर्तृकर्मणोश्च भूकृञोः,कर्तृकर्मणोः+च+भूकृञोः,33127
33129:1441:3421,छन्दसि गत्यर्थेभ्यः,छन्दसि+गत्यर्थेभ्यः,33129
33130:263:3422,अन्येभ्योऽपि दृश्यते,अन्येभ्यः+अपि+दृश्यते,33130
33131:3077:2789,वर्तमानसामीप्ये वर्तमानवद्वा,वर्तमानसामीप्ये+वर्तमानवत्+वा,33131
33132:575:2790,आशंसायां भूतवच्च,आशंसायाम्+भूतवत्+च,33132
33133:1228:2791,क्षिप्रवचने लृट्,क्षिप्रवचने+लृट्,33133
33134:576:2792,आशंसावचने लिङ्,आशंसावचने+लिङ्,33134
33135:2150:2793,नानद्यतनवत्‌ क्रियाप्रबन्धसामीप्ययोः,न+अनद्यतनवत्+क्रियाप्रबन्धसामीप्ययोः,33135
33136:2652:2794,भविष्यति मर्यादावचनेऽवरस्मिन्,भविष्यति+मर्यादावचने+अवरस्मिन्,33136
33137:1060:2795,कालविभागे चानहोरात्राणाम्,कालविभागे+च+अनहोरात्राणाम्,33137
33138:2300:2796,परस्मिन् विभाषा,परस्मिन्+विभाषा,33138
33139:2986:2229,लिङ्‌निमित्ते लृङ् क्रियाऽतिपत्तौ,लिङ्‌निमित्ते+लृङ्+क्रियाऽतिपत्तौ,33139
33140:2692:2797,भूते च,भूते+च,33140
33141:3315:2798,वोताप्योः,वा+आ+उताप्योः,33141
33142:1280:2799,गर्हायां लडपिजात्वोः,गर्हायाम्+लट्+अपिजात्वोः,33142
33143:3184:2800,विभाषा कथमि लिङ् च,विभाषा+कथमि+लिङ्+च,33143
33144:1081:2801,किंवृत्ते लिङ्लृटौ,किंवृत्ते+लिङ्लृटौ,33144
33145:178:2802,अनवकॢप्त्यमर्षयोरकिंवृत्ते अपि,अनवकॢप्त्यमर्षयोः+अकिंवृत्ते+अपि,33145
33146:1079:2803,किंकिलास्त्यर्थेषु लृट्,किंकिलास्त्यर्थेषु+लृट्,33146
33148:2811:2805,यच्चयत्रयोः,यच्चयत्रयोः,33148
33149:1279:2806,गर्हायां च,गर्हायाम्+च,33149
33150:1420:2807,चित्रीकरणे च,चित्रीकरणे+च,33150
33151:3432:2808,शेषे लृडयदौ,शेषे+लृट्+अयदौ,33151
33152:708:2809,उताप्योः समर्थयोर्लिङ्,उताप्योः+समर्थयोः+लिङ्,33152
33153:1050:2810,कामप्रवेदनेऽकच्चिति,कामप्रवेदने+अकच्चिति,33153
33154:3669:2811,सम्भवानेऽलमिति चेत्‌ सिद्धाप्रयोगे,सम्भवाने+अलम्+इति+चेत्+सिद्धाप्रयोगे,33154
33155:3208:2812,विभाषा धातौ सम्भावनवचनेऽयदि,विभाषा+धातौ+सम्भावनवचने+अयदि,33155
33156:3956:2813,हेतुहेतुमतोर्लिङ्,हेतुहेतुमतोः+लिङ्,33156
33157:612:2814,इच्छार्थेषु लिङ्लोटौ,इच्छार्थेषु+लिङ्लोटौ,33157
33158:3633:3176,समानकर्तृकेषु तुमुन्,समानकर्तृकेषु+तुमुन्,33158
33159:2982:2815,लिङ् च,लिङ्+च,33159
33160:611:2816,इच्छार्थेभ्यो विभाषा वर्तमाने,इच्छार्थेभ्यो+विभाषा+वर्त्तमाने,33160
33161:3168:2208,विधिनिमन्‍त्रणामन्‍त्रणाधीष्‍टसंप्रश्‍नप्रार्थनेषु लिङ्,विधिनिमन्त्रणामन्त्रणाधीष्टसम्प्रश्नप्रार्थनेषु+लिङ्,33161
33162:3024:2194,लोट् च,लोट्+च,33162
33163:2561:2817,प्रैषातिसर्गप्राप्तकालेषु कृत्याश्च,प्रैषातिसर्गप्राप्तकालेषु+कृत्याः+च,33163
33164:2984:2818,लिङ् चोर्ध्वमौहूर्तिके,लिङ्+च+ऊर्ध्वमौहूर्तिके,33164
33165:3854:2819,स्मे लोट्,स्मे+लोट्,33165
33166:154:2820,अधीष्टे च,अधीष्टे+च,33166
33167:1061:3179,कालसमयवेलासु तुमुन्,कालसमयवेलासु+तुमुन्,33167
33168:2985:2821,लिङ् यदि,लिङ्+यदि,33168
33169:365:2822,अर्हे कृत्यतृचश्च,अर्हे+कृत्यतृचः+च,33169
33170:573:3311,आवश्यकाधमर्ण्ययोर्णिनिः,आवश्यकाधमर्ण्ययोः+णिनिः,33170
33172:3346:2823,शकि लिङ् च,शकि+लिङ्+च,33172
33173:582:2195,आशिषि लिङ्लोटौ,आशिषि+लिङ्लोटौ,33173
33174:1180:3313,क्तिच्क्तौ च संज्ञायाम्,क्तिच्क्तौ+च+संज्ञायाम्,33174
33175:2761:2219,माङि लुङ्,माङि+लुङ्,33175
33176:3855:2220,स्मोत्तरे लङ् च,स्मोत्तरे+लङ्+च,33176
34001:1995:2824,धातुसम्बन्धे प्रत्ययाः,धातुसम्बन्धे+प्रत्ययाः,34001
34002:1208:2825,क्रियासमभिहारे लोट्; लोटो हिस्वौ; वा च तध्वमोः,क्रियासमभिहारे+लोट्+लोटः+हिस्वौ+वा+च+तध्वमोः,34002
34003:3650:2826,समुच्चयेऽन्यतरस्याम्,समुच्चये+अन्यतरस्याम्,34003
34004:2831:2827,यथाविध्यनुप्रयोगः पूर्वस्मिन्,यथाविधि+अनुप्रयोगः+पूर्वस्मिन्,34004
34005:3649:2828,समुच्चये सामान्यवचनस्य,समुच्चये+सामान्यवचनस्य,34005
34006:1452:3423,छन्दसि लुङ्लङ्लिटः,छन्दसि+लुङ्-लङ्-लिटः,34006
34007:2979:3424,लिङर्थे लेट्,लिङर्थे+लेट्,34007
34008:775:3431,उपसंवादाशङ्कयोश्च,उपसंवादाशङ्कयोः+च,34008
34009:1754:3436,तुमर्थे सेसेनसेअसेन्क्सेकसेनध्यैअध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः,तुमर्थे+सेसेनसेसेन्क्सेकसेनध्यैध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः,34009
