11001:3288:16,वृद्धिरादैच्,वृद्धिः+आदैच्,11001:वृद्धिरादैच्:1
44084:1987:1636,धनगणं लब्धा,धनगणम्+लब्धा,44084:धनगणम्लब्धा:0
44085:256:1637,अन्नाण्णः,अन्नात्+णः,44085:अन्नाट्णः:0
44086:3085:1638,वशं गतः,वशम्+गतः,44086:( वशंगतः-> )वशङ्गतः:0
44093:1458:1645,छन्दसो निर्मिते,छन्दसः+निर्मिते,44093:छन्दसः निर्मिते:0
44100:2640:1652,भक्ताण्णः,भक्तात्+णः,44100:भक्ताट्णः:0
44101:2322:1653,परिषदो ण्यः,परिषदः+ण्यः,44101:परिषदः ण्यः:0
44105:3617:1657,सभाया यः,सभायाः+यः,44105:सभायाः यः:0
44106:1574:3455,ढश्छन्दसि,ढः+छन्दसि,44106:ढश्छन्दसि:1
44109:3794:1660,सोदराद्यः,सोदरात्+यः,44109:सोदरात्यः:0
44115:1745:3461,तुग्राद्घन्,तुग्रात्+घन्,44115:तुग्रात्घन्:0
44116:30:3462,अग्राद्यत्‌,अग्रात्+यत्,44116:अग्रात्यत्:0
44124:2774:3470,मायायामण्,मायायाम्+अण्,44124:मायायामण्:1
51015:1402:1677,चर्म्मणोऽञ्,चर्म्मणः+अञ्,51015:चर्म्मणोऽञ्:1
51017:2310:1679,परिखाया ढञ्,परिखायाः+ढञ्,51017:परिखायाः ढञ्:0
51025:954:1690,कंसाट्टिठन्,कंसात्+टिठन्,51025:कंसाट्टिठन्:1
51031:2625:1696,बिस्ताच्च,बिस्तात्+च,51031:बिस्ताच्च:1
51033:1254:1698,खार्या ईकन्,खार्याः+ईकन्,51033:खार्यायीकन्, खार्या ईकन्:1
51035:3385:1700,शाणाद्वा,शाणात्+वा,51035:शाणात्वा:0
51042:1709:1708,तस्येश्वरः,तस्य+इश्वरः,51042:तस्येश्वरः:1
51063:1645:1728,तद् अर्हति,तत्+अर्हति,51063:ततर्हति:0
51073:3564:1737,संशयमापन्नः,संशयम्+आपन्नः,51073:संशयमापन्नः:1
51074:2896:1738,योजनं गच्छति,योजनम्+गच्छति,51074:( योजनंगच्छति-> )योजनङ्गच्छति:0
51082:1946:1746,द्विगोर्यप्‌,द्विगोः+यप्,51082:द्विगोर्यप्:0
51086:1948:1750,द्विगोर्वा,द्विगोः+वा,51086:द्विगोर्वा:1
51103:1007:1767,कर्मण उकञ्,कर्मणः+उकञ्,51103:कर्मणयुकञ्, कर्मण उकञ्:1
51105:862:1769,ऋतोरण्,ऋतोः+अण्,51105:ऋतोरण्:1
51107:1068:1770,कालाद्यत्‌,कालात्+यत्,51107:कालात्यत्:0
51117:1628:1780,तदर्हम्,तत्+अर्हम्,51117:ततर्हम्:0
51126:3576:1791,सख्युर्यः,सख्युः+यः,51126:सख्युर्यः:1
51136:2628:1801,ब्रह्मणस्त्वः,ब्रह्मणः+त्वः,51136:ब्रह्मणस्त्वः:1
52015:190:1816,अनुग्वलंगामी,अनुगु+अलंगामी,52015:अनुग्वलंगामी, अनुगु अलंगामी:1
52016:164:1817,अध्वनो यत्खौ,अध्वनः+यत्खौ,52016:अध्वनः यत्खौ:0
52019:418:1820,अश्वस्यैकाहगमः,अश्वस्य+एकाहगमः,52019:अश्वस्यैकाहगमः:1
52053:3048:1853,वतोरिथुक्,वतोः+इथुक्,52053:वतोरिथुक्:1
52054:1976:1854,द्वेस्तीयः,द्वेः+तीयः,52054:द्वेस्तीयः:1
52069:5:1869,अंशं हारी,अंशम्+हारी,52069:अंशंहारी:0
52080:711:1880,उत्क उन्मनाः,उत्कः+उन्मनाः,52080:उत्कयुन्मनाः, उत्क उन्मनाः:1
52086:2425:1886,पूर्वादिनिः,पूर्वात्+इनिः,52086:पूर्वातिनिः:0
52115:97:1922,अत इनिठनौ,अतः+इनिठनौ,52115:अतयिनिठनौ, अत इनिठनौ:1
52122:2590:3498,बहुलं छन्दसि,बहुलम्+छन्दसि,52122:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
52123:839:1929,ऊर्णाया युस्,ऊर्णायाः+युस्,52123:ऊर्णायाः युस्:0
52124:3139:1930,वाचो ग्मिनिः,वाचः+ग्मिनिः,52124:वाचः ग्मिनिः:0
52126:3892:1932,स्वामिन्नैश्वर्ये,स्वामिन्+ऐश्वर्ये,52126:स्वामिनैश्वर्ये:0
52130:3063:1936,वयसि पूरणात्‌,वयसि+पूरणात्,52130:वयसिपूरणात्:0
52133:3932:1939,हस्ताज्जातौ,हस्तात्+जातौ,52133:हस्ताच्जातौ:0
53003:640:1949,इदम इश्,इदमः+इश्,53003:इदमयिश्, इदम इश्:1
53005:912:1951,एतदोऽश्,एतदः+अन्,53005:एतदोऽन्:0
53008:1681:1955,तसेश्च,तसेः+च,53008:तसेश्च:1
53011:644:1958,इदमो हः,इदमः+हः,53011:इदमः हः:0
53012:1093:1959,किमोऽत्‌,किमः+अत्,53012:किमोऽत्:0
53016:643:1965,इदमो र्हिल्,इदमः+र्हिल्,53016:इदमः र्हिल्:0
53018:1847:1967,दानीं च,दानीम्+च,53018:( दानींच-> )दानीञ्च:0
53024:641:1972,इदमस्थमुः,इदमः+थमुः,53024:इदमस्थमुः:1
53025:1090:1973,किमश्च,किमः+च,53025:किमश्च:1
53030:74:1980,अञ्चेर्लुक्,अञ्चेः+लुक्,53030:अञ्चेर्लुक्:1
53038:719:1987,उत्तराच्च,उत्तरात्+च,53038:उत्तराच्च:1
53041:3247:1977,विभाषाऽवरस्य,विभाषा+अवरस्य,53041:विभाषावरस्य:0
53047:2856:1993,याप्ये पाशप्‌,याप्ये+पाशप्,53047:याप्येपाशप्:0
53056:1723:2002,तिङश्च,तिङः+च,53056:तिङश्च:1
53059:1760:2007,तुश्छन्दसि,तुः+छन्दसि,53059:तुश्छन्दसि:1
53065:3174:2020,विन्मतोर्लुक्,विन्मतोः+लुक्,53065:विन्मतोर्लुक्:1
53098:3018:2053,लुम्मनुष्ये,लुप्+मनुष्ये,53098:लुप्मनुष्ये:0
53101:3093:2056,वस्तेर्ढञ्,वस्तेः+ढञ्,53101:वस्तेर्ढञ्:1
53102:3396:2057,शिलाया ढः,शिलायाः+ढः,53102:शिलायाः ढः:0
53115:3277:2068,वृकाट्टेण्यण्,वृकात्+टेण्यण्,53115:वृकाट्टेण्यण्:1
53119:1555:2072,ञ्य्आदयस्तद्राजाः,ञ्यादयः+तद्राजाः,53119:ञ्यादयस्तद्राजाः:0
54006:2627:2078,बृहत्या आच्छादने,बृहत्याः+आच्छादने,54006:बृहत्यायाच्छादने, बृहत्या आच्छादने:1
54015:86:3219,अणिनुणः,अण्+इनुणः,54015:अणिनुणः:1
54016:3272:2084,विसारिणो मत्स्ये,विसारिणः+मत्स्ये,54016:विसारिणः मत्स्ये:0
54026:104:2094,अतिथेर्ञ्यः,अतिथेः+ञ्यः,54026:अतिथेर्ञ्यः:1
54030:3036:2098,लोहितान्मणौ,लोहितात्+मणौ,54030:लोहितात्मणौ:0
54033:1064:2101,कालाच्च,कालात्+च,54033:कालाच्च:1
54037:945:2105,ओषधेरजातौ,ओषधेः+अजातौ,54037:ओषधेरजातौ:1
54039:2796:2107,मृदस्तिकन्,मृदः+तिकन्,54039:मृदस्तिकन्:1
54065:3417:2136,शूलात्‌ पाके,शूलात्+पाके,54065:शूलात्पाके:0
54066:3580:2137,सत्यादशपथे,सत्यात्+अशपथे,54066:सत्यातशपथे:0
54067:2724:2138,मद्रात्‌ परिवापणे,मद्रात्+परिवापणे,54067:मद्रात्परिवापणे:0
54069:2043:954,न पूजनात्‌,न+पूजनात्,54069:नपूजनात्:0
54072:2280:957,पथो विभाषा,पथः+विभाषा,54072:पथः विभाषा:0
54083:188:951,अनुगवमायामे,अनुगवम्+आयामे,54083:अनुगवमायामे:1
54099:2160:801,नावो द्विगोः,नावः+द्विगोः,54099:नावः द्विगोः:0
54100:356:802,अर्धाच्च,अर्धात्+च,54100:अर्धाच्च:1
54108:179:678,अनश्च,अनः+च,54108:अनश्च:1
54131:836:483,ऊधसोऽनङ्,ऊधसः+अनङ्,54131:ऊधसोऽनङ्:1
54132:1989:870,धनुषश्च,धनुषः+च,54132:धनुषश्च:1
54134:1512:872,जायाया निङ्,जायायाः+निङ्,54134:जायायाः निङ्:0
54137:766:876,उपमानाच्च,उपमानात्+च,54137:उपमानाच्च:1
54149:2415:887,पूर्णाद्विभाषा,पूर्णात्+विभाषा,54149:पूर्णात्विभाषा:0
54153:2108:833,नद्यृतश्च,नद्यृतः+च,54153:नद्यृतश्च:1
54154:3429:891,शेषाद्विभाषा,शेषात्+विभाषा,54154:शेषात्विभाषा:0
54156:686:894,ईयसश्च,ईयसः+च,54156:ईयसश्च:1
54158:855:3508,ऋतश्छन्दसि,ऋतः+छन्दसि,54158:ऋतश्छन्दसि:1
61004:2434:2178,पूर्वोऽभ्यासः,पूर्वः+अभ्यासः,61004:पूर्वोऽभ्यासः:1
61018:3891:2584,स्वापेश्चङि,स्वापेः+चङि,61018:स्वापेश्चङि:1
61025:2473:3022,प्रतेश्च,प्रतेः+च,61025:प्रतेश्च:1
61027:3421:3067,शृतं पाके,शृतम्+पाके,61027:( शृतंपाके-> )शृतम्पाके:0
61029:2997:2327,लिड्यङोश्च,लिड्यङोः+च,61029:लिड्यङोश्च:1
61034:2591:3510,बहुलं छन्दसि,बहुलम्+छन्दसि,61034:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
61042:1533:3340,ज्यश्च,ज्यः+च,61042:ज्यश्च:1
61043:3329:3341,व्यश्च,व्यः+च,61043:व्यश्च:1
61052:1257:3513,खिदेश्छन्दसि,खिदेः+छन्दसि,61052:खिदेश्छन्दसि:1
61053:269:3375,अपगुरो णमुलि,अपगुरः+णमुलि,61053:अपगुरः णमुलि:0
61056:2622:2593,बिभेतेर्हेतुभये,बिभेतेः+हेतुभये,61056:बिभेतेर्हेतुभये:1
61057:2183:2569,नित्यं स्मयतेः,नित्यम्+स्मयतेः,61057:नित्यंस्मयतेः:0
61060:3406:3514,शीर्षंश्छन्दसि,शीर्षन्+छन्दसि,61060:शीर्षञ्छन्दसि:0
61065:1588:2268,णो नः,णः+नः,61065:णः नः:0
61074:484:147,आङ्माङोश्च,आङ्माङोः+च,61074:आङ्माङोश्च:1
61078:905:61,एचोऽयवायावः,एचः+अयवायावः,61078:एचोऽयवायावः:1
61082:1205:66,क्रय्यस्तदर्थे,क्रय्यः+तदर्थे,61082:क्रय्यस्तदर्थे:1
61087:531:69,आद्गुणः,आत्+गुणः,61087:आत्गुणः:0
61088:3289:72,वृद्धिरेचि,वृद्धिः+एचि,61088:वृद्धिरेचि:1
61090:490:269,आटश्च,आटः+च,61090:आटश्च:1
61095:939:80,ओमाङोश्च,ओमाङोः+च,61095:ओमाङोश्च:1
61097:109:191,अतो गुणे,अतः+गुणे,61097:अतः गुणे:0
61110:1370:246,ङसिङसोश्च,ङसिङसोः+च,61110:ङसिङसोश्च:1
61111:851:279,ऋत उत्‌,ऋतः+उत्,61111:ऋतयुत्, ऋत उत्:0
61117:2816:3520,यजुष्युरः,यजुषि+उरः,61117:यजुष्युरः, यजुषि उरः:1
61128:863:92,ऋत्यकः,ऋति+अकः,61128:ऋत्यकः, ऋति अकः:1
61131:1863:337,दिव उत्‌,दिवः+उत्,61131:दिवयुत्, दिव उत्:0
61148:3069:1063,वर्चस्केऽवस्करः,वर्चस्के+अवस्करः,61148:वर्चस्कयवस्करः, वर्चस्क अवस्करः, वर्चस्केऽवस्करः:1
61149:284:1064,अपस्करो रथाङ्गम्,अपस्करः+रथाङ्गम्,61149:अपस्करः रथाङ्गम्:0
61156:1055:1070,कारस्करो वृक्षः,कारस्करः+वृक्षः,61156:कारस्करः वृक्षः:0
61166:1741:3713,तिसृभ्यो जसः,तिसृभ्यः+जसः,61166:तिसृभ्यः जसः:0
61172:426:3718,अष्टनो दीर्घात्‌,अष्टनः+दीर्घात्,61172:अष्टनः दीर्घात्:0
61183:1870:3727,दिवो झल्,दिवः+झल्,61183:दिवः झल्:0
61201:1225:3689,क्षयो निवासे,क्षयः+निवासे,61201:क्षयः निवासे:0
61210:2177:3698,नित्यं मन्त्रे,नित्यम्+मन्त्रे,61210:नित्यम्मन्त्रे:0
61213:2826:3701,यतोऽनावः,यतः+अनावः,61213:यतोऽनावः:1
61220:253:3706,अन्तोऽवत्याः,अन्तः+अवत्याः,61220:अन्तोऽवत्याः:1
62007:2291:3741,पदेऽपदेशे,पदे+अपदेशे,62007:पदयपदेशे, पद अपदेशे, पदेऽपदेशे:1
62017:3863:3751,स्वं स्वामिनि,स्वम्+स्वामिनि,62017:स्वंस्वामिनि:0
62018:2273:3752,पत्यावैश्वर्ये,पत्यौ+ऐश्वर्ये,62018:पत्यावैश्वर्ये, पत्या ऐश्वर्ये:1
62026:1111:3760,कुमारश्च,कुमारः+च,62026:कुमारश्च:1
62049:1261:3783,गतिरनन्तरः,गतिः+अनन्तरः,62049:गतिरनन्तरः:1
62064:523:3798,आदिरुदात्तः,आदिः+उदात्तः,62064:आदिरुदात्तः:1
62067:3244:3801,विभाषाऽध्यक्षे,विभाषा+अध्यक्षे,62067:विभाषाध्यक्षे:0
62085:1366:3819,घोषादिषु,घोषादिषु+शालायाम्,62085:घोषादिषुशालायाम्:0
62096:725:3830,उदकेऽकेवले,उदके+अकेवले,62096:उदकयकेवले, उदक अकेवले, उदकेऽकेवले:1
62098:3618:3832,सभायां नपुंसके,सभायाम्+नपुंसके,62098:सभायाम्नपुंसके:0
62127:1424:3861,चीरमुपमानम्‌,चीरम्+उपमानम्,62127:चीरमुपमानम्:0
62132:2384:3866,पुत्रः पुंभ्यः,पुत्रः+पुम्भ्यः,62132:पुत्र8पुम्भ्यः, पुत्रः पुम्भ्यः:0
62136:1101:3870,कुण्डं वनम्,कुण्डम्+वनम्,62136:कुण्डम्वनम्:0
62157:59:3891,अच्कावशक्तौ,अच्कौ+अशक्तौ,62157:अच्कावशक्तौ, अच्का अशक्तौ:1
62178:3056:3912,वनं समासे,वनम्+समासे,62178:वनंसमासे:0
62180:248:3914,अन्तश्च,अन्तः+च,62180:अन्तश्च:1
62185:316:3919,अभेर्मुखम्,अभेः+मुखम्,62185:अभेर्मुखम्:1
62186:287:3920,अपाच्च,अपात्+च,62186:अपाच्च:1
62191:108:3925,अतेरकृत्पदे,अतेः+अकृत्पदे,62191:अतेरकृत्पदे:1
62192:2233:3926,नेरनिधाने,नेः+अनिधाने,62192:नेरनिधाने:1
63001:368:958,अलुगुत्तरपदे,अलुक्+उत्तरपदे,63001:अलुकुत्तरपदे:0
63011:2729:969,मध्याद्गुरौ,मध्यात्+गुरौ,63011:मध्यात्गुरौ:0
63028:652:925,इद्वृद्धौ,इत्+वृद्धौ,63028:इत्वृद्धौ:0
63029:1871:926,दिवो द्यावा,दिवः+द्यावा,63029:दिवः द्यावा:0
63031:825:928,उषासोषसः,उषासा+उषसः,63031:उषासोषसः:1
63041:1506:842,जातेश्च,जातेः+च,63041:जातेश्च:1
63045:697:987,उगितश्च,उगितः+च,63045:उगितश्च:1
63048:1809:809,त्रेस्त्रयः,त्रेः+त्रयः,63048:त्रेस्त्रयः:1
63073:2127:757,नलोपो नञः,नलोपः+नञः,63073:नलोपः नञः:0
63088:3252:1016,विभाषोदरे,विभाषा+उदरे,63088:विभाषोदरे:1
63102:2905:1028,रथवदयोश्च,रथवदयोः+च,63102:रथवदयोश्च:1
63124:1840:3079,दस्ति,दः+ति,63124:दस्ति:1
64005:1464:3540,छन्दस्युभयथा,छन्दसि+उभयथा,64005:छन्दस्युभयथा, छन्दसि उभयथा:1
64007:2244:370,नोपधायाः,न+उपधायाः,64007:नोपधायाः:1
64017:1662:2622,तनोतेर्विभाषा,तनोतेः+विभाषा,64017:तनोतेर्विभाषा:1
64021:2934:2655,राल्लोपः,रात्+लोपः,64021:राल्लोपः:1
64023:3443:2544,श्नान्नलोपः,श्नात्+नलोपः,64023:श्नात्नलोपः:0
64026:2904:2397,रञ्जेश्च,रञ्जेः+च,64026:रञ्जेश्च:1
64028:3857:3188,स्यदो जवे,स्यदः+जवे,64028:स्यदः जवे:0
64036:3904:2431,हन्तेर्जः,हन्तेः+जः,64036:हन्तेर्जः:1
64044:1661:2759,तनोतेर्यकि,तनोतेः+यकि,64044:तनोतेर्यकि:1
64048:115:2308,अतो लोपः,अतः+लोपः,64048:अतः लोपः:0
64051:1585:2313,णेरनिटि,णेः+अनिटि,64051:णेरनिटि:1
64057:3241:3337,विभाषाऽऽपः,विभाषा+आपः,64057:विभाषापः:0
64065:684:2843,ईद्यति,ईत्+यति,64065:ईत्यति:0
64067:923:2374,एर्लिङि,एः+लिङि,64067:एर्लिङि:1
64076:661:3547,इरयो रे,इरयोः+रे,64076:इरयो रे:1
64080:3131:302,वाऽम्शसोः,वा+अम्शसोः,64080:वाम्शसोः:0
64081:625:3455,इणो यण्,इणः+यण्,64081:इणः यण्:0
64086:1465:3548,छन्दस्युभयथा,छन्दसि+उभयथा,64086:छन्दस्युभयथा, छन्दसि उभयथा:1
64090:1922:2604,दोषो णौ,दोषः+णौ,64090:दोषः णौ:0
64092:2778:2568,मितां ह्रस्वः,मिताम्+ह्रस्वः,64092:मितांह्रस्वः:0
64103:32:3553,अङितश्च,अङितः+च,64103:अङितश्च:1
64104:1412:2329,चिणो लुक्,चिणः+लुक्,64104:चिणः लुक्:0
64105:117:2202,अतो हेः,अतः+हेः,64105:अतः हेः:0
64108:2170:2548,नित्यं करोतेः,नित्यम्+करोतेः,64108:( नित्यंकरोतेः-> )नित्यङ्करोतेः:0
64111:3441:2469,श्नसोरल्लोपः,श्नसोः+अल्लोपः,64111:श्नसोरल्लोपः:1
64116:1496:2498,जहातेश्च,जहातेः+च,64116:जहातेश्च:1
64118:3032:2500,लोपो यि,लोपः+यि,64118:लोपः यि:0
64132:3147:329,वाह ऊठ्,वाहः+ऊठ्,64132:वाहयूठ्, वाह ऊठ्:1
64134:374:234,अल्लोपोऽनः,अल्लोपः+अनः,64134:अल्लोपोऽनः:1
64139:722:420,उद ईत्‌,उदः+ईत्,64139:उदयीत्, उद ईत्:0
64140:502:240,आतो धातोः,आतः+धातोः,64140:आतः धातोः:0
64144:2135:679,नस्तद्धिते,नः+तद्धिते,64144:नस्तद्धिते:1
64146:943:847,ओर्गुणः,ओः+गुणः,64146:ओर्गुणः:1
64171:2634:1158,ब्राह्मोअजातौ,ब्राह्मः+अजातौ,64171:ब्राह्मोऽजातौ:0
64173:948:1159,औक्षमनपत्ये,औक्षम्+अनपत्ये,64173:औक्षमनपत्ये:1
71001:2872:1247,युवोरनाकौ,युवोः+अनाकौ,71001:युवोरनाकौ:1
71003:1551:2169,झोऽन्तः,झः+अन्तः,71003:झोऽन्तः:1
71006:3404:2442,शीङो रुट्,शीङः+रुट्,71006:शीङः रुट्:0
71007:3306:2701,वेत्तेर्विभाषा,वेत्तेः+विभाषा,71007:वेत्तेर्विभाषा:1
71008:2592:3557,बहुलं छन्दसि,बहुलम्+छन्दसि,71008:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
71010:2593:3558,बहुलं छन्दसि,बहुलम्+छन्दसि,71010:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
71013:1376:204,ङेर्यः,ङेः+यः,71013:ङेर्यः:1
71018:949:287,औङ आपः,औङः+आपः,71018:औङयापः, औङ आपः:1
71022:3475:261,षड्भ्यो लुक्,षड्‍भ्यः+लुक्,71022:षड्‍भ्यः लुक्:0
71024:118:309,अतोऽम्,अतः+अम्,71024:अतोऽम्:1
71029:3379:391,शसो न,शसः+न,71029:शसः न:0
71030:2703:395,भ्यसो भ्यम्,भ्यसः+भ्यम्,71030:भ्यसः भ्यम्:0
71033:3719:400,साम आकम्,सामः+आकम्,71033:सामयाकम्, साम आकम्:1
71040:333:3562,अमो मश्,अमः+मश्,71040:अमः मश्:0
71042:2010:3564,ध्वमो ध्वात्‌,ध्वमः+ध्वात्,71042:ध्वमः ध्वात्:0
71044:1693:3566,तस्य तात्‌,तस्य+तात्,71044:तस्यतात्:0
71046:639:3568,इदन्तो मसि,इदन्तः+मसि,71046:इदन्तः मसि:0
71047:1192:3569,क्त्वो यक्,क्त्वः+यक्,71047:क्त्वः यक्:0
71053:1810:264,त्रेस्त्रयः,त्रेः+त्रयः,71053:त्रेस्त्रयः:1
71061:2909:2302,रधिजभोरचि,रधिजभोः+अचि,71061:रधिजभोरचि:1
71064:2971:2582,लभेश्च,लभेः+च,71064:लभेश्च:1
71065:480:2845,आङो यि,आङः+यि,71065:आङः यि:0
71071:2867:376,युजेरसमासे,युजेः+असमासे,71071:युजेरसमासे:1
71082:3727:332,सावनडुहः,सौ+अवनडुहः,71082:साववनडुहः, सा अवनडुहः:0
71084:1864:336,दिव औत्‌,दिवः+औत्,71084:दिवयौत्, दिव औत्:0
71087:1821:367,थो न्थः,थः+न्थः,71087:थः न्थः:0
71089:2381:436,पुंसोऽसुङ्,पुंसः+असुङ्,71089:पुंसोऽसुङ्:1
71090:1310:284,गोतो णित्‌,गोतः+णित्,71090:गोतः णित्:0
71101:762:2571,उपधायाश्च,उपधायाः+च,71101:उपधायाश्च:1
71103:2594:3578,बहुलं छन्दसि,बहुलम्+छन्दसि,71103:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
72004:2225:2268,नेटि,न+इटि,72004:नेटि:1
72006:840:2449,ऊर्णोतेर्विभाषा,ऊर्णोतेः+विभाषा,72006:ऊर्णोतेर्विभाषा:1
72016:521:3036,आदितश्च,आदितः+च,72016:आदितश्च:1
72029:3951:3070,हृषेर्लोमसु,हृषेः+लोमसु,72029:हृषेर्लोमसु:1
72030:271:3071,अपचितश्च,अपचितः+च,72030:अपचितश्च:1
72038:3297:2391,वॄतो वा,वॄतः+वा,72038:वॄतः वा:0
72051:2407:3050,पूङश्च,पूङः+च,72051:पूङश्च:1
72054:3017:3048,लुभो विमोचने,लुभः+विमोहने,72054:लुभः विमोहने:0
72056:740:3328,उदितो वा,उदितः+वा,72056:उदितः वा:0
72062:760:2295,उपदेशेऽत्वतः,उपदेशे+अत्वतः,72062:उपदेशयत्वतः, उपदेश अत्वतः, उपदेशेऽत्वतः:1
72081:501:2235,आतो ङितः,आतः+ङितः,72081:आतः ङितः:0
72083:681:3104,ईदासः,ईत्+आसः,72083:ईतासः:0
72085:2933:286,रायो हलि,रायः+हलि,72085:रायः हलि:0
72089:2893:392,योऽचि,यः+अचि,72089:योऽचि:1
72097:1811:389,त्वमावेकवचने,त्वमौ+एकवचने,72097:त्वमावेकवचने, त्वमा एकवचने:1
72105:1221:1960,क्वाति,क्व+अति,72105:क्वाति:1
72108:642:343,इदमो मः,इदमः+मः,72108:इदमः मः:0
72109:1838:345,दश्च,दः+च,72109:दश्च:1
72114:2794:3473,मृजेर्वृद्धिः,मृजेः+वृद्धिः,72114:मृजेर्वृद्धिः:1
72115:54:254,अचो ञ्णिति,अचः+ञ्णिति,72115:अचः ञ्णिति:0
72116:99:2282,अत उपधायाः,अतः+उपधायाः,72116:अतयुपधायाः, अत उपधायाः:1
73008:3468:1560,श्वादेरिञि,श्वादेः+इञि,73008:श्वादेरिञि:1
73011:381:1379,अवयवादृतोः,अवयवात्+ऋतोः,73011:अवयवातृतोः:0
73024:2532:1431,प्राचां नगरान्ते,प्राचाम्+नगरान्ते,73024:प्राचाम्नगरान्ते:0
73041:3849:2597,स्फायो वः,स्फायः+वः,73041:स्फायः वः:0
73050:1566:1170,ठस्येकः,ठस्य+इकः,73050:ठस्येकः:1
73056:3960:2531,हेरचङि,हेः+अचङि,73056:हेरचङि:1
73057:3600:2331,सन्लिटोर्जेः,सन्लिटोः+जेः,73057:सन्लिटोर्जेः:1
73063:3045:2879,वञ्चेर्गतौ,वञ्चेः+गतौ,73063:वञ्चेर्गतौ:1
73065:1593:2881,ण्य आवश्यके,ण्ये+आवश्यके,73065:ण्ययावश्यके, ण्य आवश्यके:1
73069:2700:2885,भोज्यं भक्ष्ये,भोज्यम्+भक्ष्ये,73069:( भोज्यंभक्ष्ये-> )भोज्यम्भक्ष्ये:0
73072:1243:2337,क्सस्याचि,क्सस्य+अचि,73072:क्सस्याचि:1
73079:1529:2511,ज्ञाजनोर्जा,ज्ञाजनोः+जा,73079:ज्ञाजनोर्जा:1
73081:2785:3585,मीनातेर्निगमे,मीनातेः+निगमे,73081:मीनातेर्निगमे:1
73082:2782:2343,मिदेर्गुणः,मिदेः+गुणः,73082:मिदेर्गुणः:1
73088:2696:2224,भूसुवोस्तिङि,भूसुवोः+तिङि,73088:भूसुवोस्तिङि:1
73090:841:2445,ऊर्णोतेर्विभाषा,ऊर्णोतेः+विभाषा,73090:ऊर्णोतेर्विभाषा:1
73091:1296:2448,गुणोऽपृक्ते,गुणः+अपृक्ते,73091:गुणोऽपृक्ते:1
73092:1766:2545,तृणह इम्,तृणहः+इम्,73092:तृणहयिम्, तृणह इम्:1
73093:2635:2452,ब्रुव ईट्,ब्रुवः+ईट्,73093:ब्रुवयीट्, ब्रुव ईट्:1
73094:2808:2651,यङो वा,यङः+वा,73094:यङः वा:0
73097:2595:3586,बहुलं छन्दसि,बहुलम्+छन्दसि,73097:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
73111:1364:245,घेर्ङिति,घेः+ङिति,73111:घेर्ङिति:1
73112:495:268,आण्नद्याः,आट्+नद्याः,73112:आट्णद्याः:0
73113:2855:290,याडापः,याट्+आपः,73113:याटापः:0
74005:1738:2588,तिष्ठतेरित्‌,तिष्ठतेः+इत्,74005:तिष्ठतेरित्:0
74006:1515:2589,जिघ्रतेर्वा,जिघ्रतेः+वा,74006:जिघ्रतेर्वा:1
74007:822:2567,उर्ऋत्‌,उः+ऋत्,74007:उरृत्:0
74008:2175:3587,नित्यं छन्दसि,नित्यम्+छन्दसि,74008:( नित्यंछन्दसि-> )नित्यञ्छन्दसि:0
74013:1161:834,केऽणः,के+अणः,74013:कयणः, क अणः, केऽणः:1
74017:446:2520,अस्यतेस्थुक्,अस्यतेः+थुक्,74017:अस्यतेस्थुक्:1
74018:3463:2421,श्वयतेरः,श्वयतेः+अः,74018:श्वयतेरः:1
74020:3041:2454,वच उम्,वचः+उम्,74020:वचयुम्, वच उम्:1
74024:915:2457,एतेर्लिङि,एतेः+लिङि,74024:एतेर्लिङि:1
74042:1830:3076,दधातेर्हिः,दधातेः+हिः,74042:दधातेर्हिः:1
74048:299:442,अपो भि,अपः+भि,74048:अपः भि:0
74052:3896:2250,ह एति,हः+एति,74052:हयेति, ह एति:1
74062:1130:2245,कुहोश्चुः,कुहोः+चुः,74062:कुहोश्चुः:1
74064:1158:3595,कृषेश्छन्दसि,कृषेः+छन्दसि,74064:कृषेश्छन्दसि:1
74066:819:2244,उरत्‌,उः+अत्,74066:उरत्:0
74068:3323:2353,व्यथो लिटि,व्यथः+लिटि,74068:व्यथः लिटि:0
74070:95:2248,अत आदेः,अतः+आदेः,74070:अतयादेः, अत आदेः:1
74072:415:2533,अश्नोतेश्च,अश्नोतेः+च,74072:अश्नोतेश्च:1
74073:2650:2181,भवतेरः,भवतेः+अः,74073:भवतेरः:1
74076:2697:3496,भृञामित्‌,भृञाम्+इत्,74076:भृञामित्:0
74078:2596:3598,बहुलं छन्दसि,बहुलम्+छन्दसि,74078:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
74079:3599:2317,सन्यतः,सनि+अतः,74079:सन्यतः, सनि अतः:1
74082:1295:2630,गुणो यङ्लुकोः,गुणः+यङ्लुकोः,74082:गुणः यङ्लुकोः:0
74083:1888:2632,दीर्घोऽकितः,दीर्घः+अकितः,74083:दीर्घोऽकितः:1
74087:1399:2636,चरफलोश्च,चरफलोः+च,74087:चरफलोश्च:1
